gene,log1p_mean_diff_sector_vs_rest
SLCO4A1,-4.871614889971365
COL6A1,-4.849973836043034
FN1,-4.360476097042596
GSN,-4.191893669231596
LGALS3BP,-4.010927861019189
S100A4,-3.711851539753777
SYNJ2,-3.653899304483631
MLPH,-3.4424560778145663
TSC22D1,-3.3832639546893333
LTBP1,-3.2778701942561606
GALNT10,-3.2091870755313074
ETV1,-3.0950178832792847
PYGB,-3.027553462372846
DPYSL2,-2.9625503082655853
PXDN,-2.931957251176837
MARCKSL1,-2.8968565754752156
LAMC2,-2.8374082405636285
NHERF2,-2.8024727864266197
LPIN2,-2.786958110646768
MAGI1,-2.7708716868544596
TNFRSF21,-2.6908264850598917
MORC4,-2.68012368123318
NDRG1,-2.659554487725068
CAVIN3,-2.629894850273721
IL6ST,-2.6124321084850797
SLCO4A1-AS1,-2.6055445009370484
GALNT5,-2.5815199886764195
ITGB5,-2.5765468431845173
CLU,-2.5743464186006477
IGFBP4,-2.553667261041139
CD47,-2.4987630467591746
MIR3681HG,-2.474076803503457
ANXA11,-2.4673458363331298
PTP4A2,-2.391390990393325
TMEM131,-2.388491077766467
CST3,-2.3838539833323464
LRP5,-2.350513073081011
COL18A1,-2.3245124077342227
SPRY2,-2.277617750303652
SVIL,-2.2623220859201636
ESYT2,-2.2473164186467587
ABR,-2.2443014795590814
SEC63,-2.234148340238111
FOXP1,-2.2297753811772605
ALDH3A2,-2.212348804210089
LPCAT1,-2.195306956379137
TRIB2,-2.1941026983773657
HMGA2-AS1,-2.1569477600844076
S100A3,-2.140280987951794
PHF20L1,-2.1330765380395205
