gene,log1p_mean_diff_sector_vs_rest
SF3A1,-2.1969135885539752
TOR1AIP1,-2.068278671980651
TGFBI,-2.0031397330580334
GNB5,-1.9518873102076437
DAP3,-1.8945650244805035
PTPRF,-1.8493090705569337
MDK,-1.8444660473522239
RALA,-1.8197969750738152
PRXL2A,-1.7657010548497807
IGBP1,-1.7501974818703983
RIPOR1,-1.7372002579493955
KLHL36,-1.7036622358529458
S100PBP,-1.667087325870986
DHPS,-1.6567636244399704
EXOSC7,-1.6560177097860853
MAD1L1,-1.6327949569473987
IFRD1,-1.62451237445128
RND3,-1.6057834037327539
NXT1,-1.604445342332353
FKBP4,-1.602760241389507
TRIM44,-1.6010122247535727
DCTD,-1.5901285202608744
VAT1,-1.56574948258793
GSE1,-1.5652429603709574
MGLL,-1.5644376141455367
SS18,-1.5621217281709872
TGM2,-1.5555571664439678
CD55,-1.5543969116959966
KRT81,-1.55107947226181
DDIT3,-1.5354796349333977
BBS2,-1.5304425985751222
GIT2,-1.5187196240973388
CMTM3,-1.516070982483879
BTF3L4P2,-1.508503943304328
TM2D1,-1.5017472976926343
CEP57,-1.4988594404286464
NRBF2,-1.4984597953895542
PLAT,-1.4857920566785139
IRF2BP2,-1.4813789618743258
ACYP1,-1.4716593046900162
OARD1,-1.4706255642776451
TFDP2,-1.4704516753223578
GET1,-1.4684236321787714
MED29,-1.4658015804186086
RAB18,-1.4531897409833996
CYSTM1,-1.4273559956014226
NINJ1,-1.4266062922416505
TMEM94,-1.4255951187495866
CGRRF1,-1.4231289631712931
SART1,-1.4203509267181298
