gene,log1p_mean_diff_sector_vs_rest
CCN2,-2.4144551491448256
DKK1,-2.2346617795334276
CCN1,-2.070582346657365
GADD45B,-2.009404592253166
AMOTL2,-1.8112842177042663
SFTA1P,-1.7469781733252778
SINHCAF,-1.7049711716075642
PLK2,-1.6719642475552163
ESCO1,-1.6147479261373885
TBRG4,-1.592760084177902
CPSF2,-1.509621591154319
TMC6,-1.4303942997185608
C17ORF75,-1.4227922631429986
ECT2,-1.4143020262409967
FBP1,-1.3568495775637026
SNAPC1,-1.3432769070686872
CCDC86,-1.3335519711075023
FIP1L1,-1.3305345523525818
GNL3,-1.313218857656104
ANKRD1,-1.3092101971687973
SAMD8,-1.2883025639887742
GPBP1L1,-1.2850133949212474
ADRB2,-1.2833040511688978
H1-0,-1.2765442479267608
ISG20,-1.2671919508055716
NIPSNAP1,-1.2414374676459932
PCID2,-1.2342159124198853
ABCE1,-1.2329208228438016
DUSP3,-1.1949797599846148
AHI1,-1.1903452041083844
FARS2,-1.1887498612676695
HBP1,-1.1779951557665966
SCO1,-1.1740486217032633
PNO1,-1.1713333486395583
AGAP6,-1.1602363140298158
ALKBH2,-1.1472882565604867
ARHGAP18,-1.1426200899079455
IMPDH2,-1.1382412830554087
NUTM2A-AS1,-1.1382148226305357
DDAH1,-1.1376941855063483
GART,-1.1356166257905012
HBEGF,-1.1138392971239535
GTPBP4,-1.1098973225968498
PCIF1,-1.1010820713847114
TRMT1L,-1.0998730339769984
DDX56,-1.0948443017855647
LIMA1,-1.094179780412591
RAI14,-1.0927710350570567
AIMP1,-1.0903944964056977
RPAP1,-1.0888066791294908
