gene,corr_H,corr_S,corr_M,corr_R
CASC8,-0.35860139934043983,0.5663807974126631,-0.6734688932913914,0.4710293929225951
HMGA1P2,-0.3326733029344396,0.268249482804037,-0.6100271795021278,0.47999010819471716
ENSG00000249061,-0.32324967337644,0.29513855480840573,-0.47462814374620366,0.360568578060794
SMIM15-AS1,-0.32031854069899734,-0.03459753587302722,-0.2403649972924006,0.14675143827297982
RPS15AP24,-0.3114579331562979,0.20498047192306665,-0.3185668191478157,0.3498683797887612
RPS24P16,-0.3112395734571002,0.45026748027812863,-0.47021864921710865,0.34528965048546845
CCN1,-0.30230338258569484,0.3311748408146558,-0.42445771125199905,0.3275156242600438
LINC02577,-0.2969890962614697,0.03848160457832402,-0.3064737147541478,0.22571155853746167
RSRP1,-0.29549440665754834,0.1886339736694008,-0.4054204739229305,0.3152047488180305
EEF1A1P35,-0.2937342504697287,0.19164518519289916,-0.3008207677427405,0.3050914660836139
LINC00887,-0.28684209804057015,-0.015598191973185802,-0.2851128339533521,0.13673635224901418
RIMS2,-0.2858160403075584,0.4785174200688987,-0.5232185734709544,0.3664926982915319
NTSR1,-0.27919073553506285,-0.1264424794970286,-0.021551381099669004,-0.06188677616974093
KRT87P,-0.27759323356626703,0.08071849007033599,-0.30032053958138083,0.22796156866819947
IMMP2L,-0.2753624191179977,0.15086807522525328,-0.32898455261765913,0.1961639104635932
ARRDC4,-0.2738012236305336,0.16320676825940764,-0.3332313687762671,0.3158636280926974
MPP4,-0.27194866271620455,0.5574754778176881,-0.5548648875531283,0.41462909129170156
PRXL2C,-0.26945959563476113,0.16737376421185393,-0.43796539001502127,0.33295441798369274
NR4A1,-0.269141080584231,-0.008058546945270717,-0.2650531103065668,0.150042863107469
GJA1,-0.2686230112764491,0.02103739271816916,-0.222466332959356,0.12085694456098414
ENSG00000255729,-0.26730220505298175,0.08933855535423886,-0.38685132844059406,0.2727333488524642
RAP1BP1,-0.26358154150350055,-0.13957927301519368,-0.18780688641477733,0.05399860019316139
ENSG00000270956,-0.2616883124407272,-0.13891649872939854,0.025990074480453335,-0.1305283837471859
GNAQP1,-0.2590209707615743,0.06628327268215886,-0.20470775042309802,0.2276181221962583
ADAMTS6,-0.25797170468605596,0.5106241841604672,-0.49988810092022407,0.3104504515862208
RPL23AP82,-0.2573998209892863,-0.1268417736723876,0.01521439143737204,-0.16462559172777735
SNAI1,-0.2535594429320996,0.14421067247250688,-0.3411163739670277,0.39139703132916154
ENSG00000248596,-0.2533220729752782,0.0723202167879322,-0.3465663750536404,0.20444049863450636
GPR15,-0.2505873126941363,-0.02687504480821739,-0.028755236131208128,-0.06110019142531494
GADD45B,-0.24487655831817512,0.4769120301566029,-0.5329345732002855,0.44629332836233027
ENSG00000249244,-0.24475554787667866,-0.03705559318951318,-0.08396023967369717,0.03775681293603162
IDH1-AS1,-0.24213021892706849,0.04722459532450553,-0.19599971940203892,0.07655650096552358
ASS1P3,-0.2419088684592043,0.04462939465697356,-0.2543366382006703,0.21158483068288397
SNHG21,-0.24148056766234657,0.33838231670104635,-0.35986987454329744,0.36530888152250285
ENSG00000198106,-0.24089546953958135,-0.003898527964922966,-0.18313487078476706,0.13668589429374942
NPM1P19,-0.2404225882112841,0.31569525412408017,-0.38071917861655624,0.31887039092662517
SFTA1P,-0.2397586073721928,0.4456176250997725,-0.4575656303145634,0.36603978086137057
ENSG00000269194,-0.23805830127613922,0.09802977778141825,-0.2659379559264208,0.322938572443786
LEMD1,-0.23774609444862463,-0.08711354921903439,-0.2305072051677745,0.06219058881694969
SUGT1P1,-0.2367954041486071,0.08786535788600067,-0.22294362662986889,0.20083257559291942
CTSH,-0.2365171124807968,-0.07630151030507287,-0.1643852975786663,-0.07198702565068518
SDHAF4,-0.23646631360432802,0.10736716706538982,-0.27108643135450333,0.21395631528621434
ENSG00000226723,-0.23596309343434754,0.3711368245936218,-0.47814135192929297,0.3447789364759344
ENSG00000231242,-0.23417659076452718,-0.15601813266717096,-0.1256336879642228,0.06365284968793496
FBP1,-0.2320378374231107,0.5277669434040667,-0.543510509069182,0.4160549101098506
HSP90AB6P,-0.2301479591215899,0.04452755220821608,-0.2310316242871768,0.07301416488125635
PARLP1,-0.23009774961054208,-0.02253690879927277,-0.08920230384212235,0.07377131256201169
ENSG00000232176,-0.22987740268280607,0.34564782697301394,-0.34276118940306466,0.38057969614410325
SNORA11F,-0.2292768872103942,0.2250929461091679,-0.3186158388344596,0.3129522440100815
ENSG00000203301,-0.22926037148723358,0.19213491736090652,-0.21033982128378856,0.3145556376560664
