gene,corr_H,corr_S,corr_M,corr_R
CASC8,-0.35860139934043983,0.5663807974126631,-0.6734688932913914,0.4710293929225951
HMGA1P2,-0.3326733029344396,0.268249482804037,-0.6100271795021278,0.47999010819471716
HSP90AB3P,-0.05170688935463972,0.3646439500512221,-0.5822476792292457,0.46145289670281686
MPP4,-0.27194866271620455,0.5574754778176881,-0.5548648875531283,0.41462909129170156
HSP90AB1,0.02144845352709282,0.38566992250545695,-0.5476752252147861,0.40073644491803706
FBP1,-0.2320378374231107,0.5277669434040667,-0.543510509069182,0.4160549101098506
HMGA1P8,-0.14702832079711417,0.20010403533214888,-0.5369383217827955,0.35674844768367164
EIF4A1P2,-0.03292062193967125,0.3296159872495471,-0.5335297929005451,0.4377743478483354
GADD45B,-0.24487655831817512,0.4769120301566029,-0.5329345732002855,0.44629332836233027
RIMS2,-0.2858160403075584,0.4785174200688987,-0.5232185734709544,0.3664926982915319
PABPC1,-0.08419766670209279,0.30418485157422215,-0.5089750436975149,0.413258570458482
HMGA1P3,-0.15618643368197604,0.24184220060603748,-0.5026044572615486,0.3419670645051885
ADAMTS6,-0.25797170468605596,0.5106241841604672,-0.49988810092022407,0.3104504515862208
HMGA1P1,-0.20568590877446488,0.19122271301289578,-0.49660879253808193,0.2651733393648984
AXL,-0.15558406697749255,0.27179938519583813,-0.4964545301705285,0.3960827248341153
EIF4A1,0.003336244408710015,0.27722108148656216,-0.4945011982141966,0.3956293248711442
HNRNPCP2,-0.1814311166283083,0.21559929856126547,-0.49017767636920734,0.3341784731146399
MGLL,-0.211658713445176,0.3421204792814117,-0.4895528488062217,0.31656390574892823
ENSG00000264772,0.038623684855134115,0.278052053247825,-0.4858216806058861,0.3839851996457045
ENSG00000226723,-0.23596309343434754,0.3711368245936218,-0.47814135192929297,0.3447789364759344
NPM1P6,0.0719666774258326,0.37865306099591917,-0.4761625188572579,0.406957023515037
ENSG00000249061,-0.32324967337644,0.29513855480840573,-0.47462814374620366,0.360568578060794
EIF4A1P10,0.047279756045494774,0.3158350667900382,-0.4732797533277466,0.3927021526325476
MSNP1,-0.17665446897479878,0.3113238144794384,-0.4724176250394408,0.32959360586513176
RPS24P16,-0.3112395734571002,0.45026748027812863,-0.47021864921710865,0.34528965048546845
RPLP0,0.17425484422650728,0.4078095358975535,-0.4683573693055321,0.31446628138604377
CD68,-0.13189862022966123,0.24829297670034237,-0.467743079066848,0.3045825841235284
PRCD,-0.22310799308051124,0.2857666455929052,-0.46150331879850776,0.2878854063477029
PABPC3,-0.13109870747870073,0.28945745791242616,-0.46076147060908174,0.34428382743320946
AOX1,-0.16809059297018833,0.46280728038886787,-0.45926419838733157,0.3132905310814762
CRADD,-0.1839926993248472,0.30429839388709956,-0.459020522036357,0.31635386226872925
RPLP0P9,0.0886678592047456,0.4545463153193721,-0.4588558091887738,0.3338752970375294
ANKRD1,-0.21726310806897026,0.5002252209998107,-0.4580348607268393,0.26083430981432787
SFTA1P,-0.2397586073721928,0.4456176250997725,-0.4575656303145634,0.36603978086137057
NPM1P18,-0.16892956159718897,0.3779921899361333,-0.45719322947123736,0.38691936782278685
EIF4HP1,-0.2090608300334852,0.36785868943066624,-0.4552028138009894,0.2947251384494337
SNAPC1,-0.15835647414654272,0.430044280854989,-0.4528737809161768,0.37235056590036547
RPS21,0.09039907705005043,0.4368879858037965,-0.4513851555856303,0.40364792869917876
RPLP0P6,0.1928929066787443,0.39268059573795655,-0.4506595761204636,0.28967920908414124
NPM1P39,0.11857344002949037,0.3543568467396334,-0.44790206497497037,0.3741998164646281
CLIC4P1,-0.1812758105655831,0.2529380361435879,-0.4472541288921273,0.311236964463273
RHEBP1,-0.10873785857379888,0.2210562969790519,-0.44591359371140626,0.35922135186543597
HMGA1,-0.12853431708910262,0.14955130172719364,-0.44527104101150156,0.3291530349957928
NPM1P27,0.093423687921006,0.30726060133409316,-0.44394173815907345,0.39458874751903195
HNRNPA1P7,0.06615833178416329,0.2392743426643423,-0.4424832674418098,0.38446459063818716
MSN,-0.10248574367195422,0.26334738077017855,-0.44075836494058274,0.26783200804754254
NPM1P7,0.07332164407787888,0.33130921519941237,-0.4398773477452026,0.4257303962441765
RPS27AP5,0.06069379371267165,0.3784482468561558,-0.4385358196132849,0.3330492108044471
PRXL2C,-0.26945959563476113,0.16737376421185393,-0.43796539001502127,0.33295441798369274
RPSAP15,0.06681800109377464,0.27880192221363254,-0.4352222362198721,0.28785467256411007
