gene,corr_H,corr_S,corr_M,corr_R
COL6A1,0.48856053490579876,-0.5190189451486169,0.6663417076407839,-0.5710188470355363
TSC22D1,0.3237919765722168,-0.4980911821575585,0.4168281647840562,-0.32422124876286423
SYNJ2,0.401524490436669,-0.4344861197539399,0.5114152064850225,-0.4458390258669335
SLCO4A1,0.4082882430429903,-0.42835464012042546,0.5224022012395815,-0.5552587838519351
IGFBP4,0.46770230822192677,-0.42719241512392786,0.5672606700671565,-0.45300879957178725
LTBP1,0.4169875071769918,-0.3983999992476337,0.482436105347664,-0.43578415333128
PXDN,0.373587982057945,-0.39602346763351454,0.4128806943362137,-0.38413711441810305
ETV1,0.3528202791876015,-0.38103303553336304,0.5055890117676776,-0.3603921823185042
CST3,0.4181008815698596,-0.3738930069195817,0.4786107305824877,-0.415021146916862
TIMP1,0.5043250597598449,-0.363731618002075,0.46223144515819276,-0.42906950388181664
GSN,0.40518621935508625,-0.3616220529206594,0.5079544310989744,-0.38234436841019864
NDRG1,0.4092054239471961,-0.3595418011296066,0.4859816540304441,-0.4294828019893745
FN1,0.39950671175306113,-0.35934493564186865,0.5019361537236788,-0.48738679550314096
LGALS3BP,0.42336909675407347,-0.35371199454570995,0.49936875335940006,-0.49080286852570504
IL6ST,0.3840078111500904,-0.34065407796079566,0.3592070035812585,-0.3361055594597511
LPIN2,0.2774504884191085,-0.3338090272926824,0.34268860587343214,-0.34202845225724593
IDNK,0.1292782758893231,-0.331844268340325,0.22145009096966878,-0.14502636710520067
CATSPER1,0.22265298167871256,-0.3270522406813557,0.24016684720930004,-0.15314275872883829
PYGB,0.4337634289347111,-0.3267163953398278,0.4479710029268969,-0.2579009629256856
GALNT5,0.2339611982030447,-0.32623756714219265,0.3417501670562497,-0.39966967645598483
GNAS,0.6414363627159684,-0.32577456805134486,0.5490098577668098,-0.46891739697036255
LAMC2,0.224198038234675,-0.3195312486790212,0.1732755154765739,-0.2464448221740422
ANXA11,0.2784740475464895,-0.31793765855820355,0.3009483794360901,-0.2935429908420409
VEGFA,0.25504920949519916,-0.3177483635457772,0.25769970820487165,-0.2664809050626201
FTH1P2,0.5568264643883255,-0.31439725843353905,0.37046933016222666,-0.3451055853762439
CD47,0.32340354470279775,-0.3140377761554592,0.28744514335875143,-0.2672368025209847
CARD19,0.29244921644996136,-0.3120146044982576,0.26576336304847753,-0.4377799871697252
BMI1,0.2861879996781096,-0.31094506343033473,0.21671886051308334,-0.2701551249201909
NT5E,0.2369167846961326,-0.3101946201290715,0.21352581687793504,-0.29214501747083893
PHLDA2,0.7263934086728894,-0.31008463727761437,0.658291383709018,-0.56077974245565
KYNU,0.2509067758290449,-0.30877381845970847,0.18697049069792993,-0.34260668988528764
REEP3,0.09823329830528191,-0.3074978084422149,0.06973399221152303,-0.19241297783359573
KMT2E,0.18996759990333967,-0.3058761492145243,0.15857447614422088,-0.2518974363497786
NHERF2,0.4976768078197498,-0.3048266798533473,0.5349983530725739,-0.5089326233063275
PSD3,0.16236776530807898,-0.3043160785325468,0.21342357936986897,-0.2884915175235282
OGT,0.21913798166583137,-0.3037759379034838,0.26969483769197583,-0.23005980928473801
ZNF76,0.27310494240181377,-0.3010476024137386,0.13998703086960315,-0.1760785675270039
PABPC1L,0.2537720033744506,-0.3003743379422633,0.33250658072412487,-0.2428603665165563
SLCO4A1-AS1,0.2583974447178218,-0.3000460457356085,0.23138518371725192,-0.40441418170984794
SPRYD3,0.2364872808703918,-0.299916645904334,0.23959544755382056,-0.09144377251537358
CARD10,0.13007501829462495,-0.2997745859061717,0.11031739733297281,-0.24431943300071418
MAGI1,0.33439574481284523,-0.29960894442661923,0.4133782650117491,-0.3954261376070965
HPCAL1,0.028423390830944528,-0.29943427099344117,-0.08700312704466902,-0.028473074619848927
CASP6,0.21998280348109348,-0.2992922604296146,0.13545617539492874,-0.20352950032495254
ITGB4,0.04502833310989247,-0.29846901862093295,0.0837507403701244,-0.17077773745731464
AGR2,0.13052708269462507,-0.2978076526390674,0.19454487292693218,-0.2551240958522168
CTSD,0.409069986353439,-0.2962205416209592,0.3475005193229013,-0.34079847854409173
CD58,0.39849339864346023,-0.2940211171640255,0.29473928716657843,-0.2002639831482151
MLPH,0.29099338523520474,-0.29098771937172585,0.3524660355626236,-0.44935545902742263
FTH1P23,0.4534705940681285,-0.2907589466984142,0.2632245694570324,-0.30566415588349094
