gene,corr_H,corr_S,corr_M,corr_R
PHLDA2,0.7263934086728894,-0.31008463727761437,0.658291383709018,-0.56077974245565
MIF,0.649552314681964,-0.14288093843372462,0.29014935515221235,-0.32704016060070745
MYL6,0.6472683224782837,-0.05784519524165498,0.2591492218814636,-0.21262287895087514
FTH1P7,0.6447209857063337,-0.22646463419037802,0.35932631330632475,-0.31784636800420235
GNAS,0.6414363627159684,-0.32577456805134486,0.5490098577668098,-0.46891739697036255
FTH1,0.6356567858849503,-0.261079338568676,0.3693209960876149,-0.34333839598972127
FTH1P10,0.6321331043005763,-0.2651079942100296,0.34825465544346174,-0.3312125577088372
SRP14,0.6160657666784125,0.02154044639716755,0.3137963719669438,-0.28385061506699294
ATP5F1E,0.6068605162574094,0.005904568589926679,0.2308389079425226,-0.2660197278816094
CD63,0.6067655397882804,-0.21662095710652568,0.42798110802268385,-0.35552069076502224
CD59,0.6051470996531755,-0.09634726759752403,0.367701775931073,-0.24403979529356512
S100A11,0.6042265863167856,0.03117892555473472,0.3054649574062806,-0.18099959579530764
CALM1,0.6033726636560625,-0.07928755351643643,0.32679246857180233,-0.1927600921427493
FTH1P11,0.5989213893225164,-0.2834925149771954,0.34855932936145156,-0.3286888929531727
TMSB10,0.5977523321749776,-0.05860851087886204,0.22126450038283832,-0.17883149791752478
UBB,0.5958148466370374,-0.05904291143546466,0.17191501025459482,-0.12425293047263858
ELOB,0.588944545231435,0.040407262424734885,0.22547084614353935,-0.14152767946228462
DSTN,0.5830883648010802,-0.09921622918231209,0.4984329075745422,-0.3821519351220569
CSTB,0.5823873541072672,-0.06881752135896349,0.23875343201311508,-0.29740418594166196
FTH1P20,0.5798696835629931,-0.2799257903504561,0.3730704659388476,-0.31919853023118505
NDUFA13,0.5793202776224486,-0.14561897065141635,0.25963764616934937,-0.36009973329883455
TPT1,0.5749560279634017,0.09850530024706029,0.21120434879326191,-0.13704184024871582
NDUFS5,0.5688999147162938,0.09588152760461686,0.26086309682238357,-0.18117895521419547
S100A16,0.5672584566414715,-0.08126018963361074,0.28188146397444563,-0.2600117767486547
B2M,0.5642473681767215,-0.1904474884109565,0.3177874553504837,-0.3138941484977174
FTH1P2,0.5568264643883255,-0.31439725843353905,0.37046933016222666,-0.3451055853762439
MT-ND1,0.552518724057285,0.0874051998364738,0.17548689914131588,-0.1666042624424971
SELENOH,0.5521359913407112,0.059885120769805046,0.2714616353208053,-0.2180394299217983
YWHAB,0.5434199781481789,0.0642740578787039,0.179420257327229,-0.08130337035902463
CFL1,0.5420499830995542,0.04515581419879493,0.03143128440803807,-0.0588790516730859
RNASEK,0.5416101035299243,-0.08210825951851902,0.17506201081056272,-0.24316457990475993
DYNLL1,0.5405383161099379,-0.025956585678373684,0.29440817197151786,-0.2425435287450463
OAZ1,0.5399829829253895,0.026728663551564873,0.08352225665458453,-0.1200501441635941
MEA1,0.5383465840479309,0.050972430986202744,0.20035531313529456,-0.13016636640766868
GAPDH,0.5362184365938737,0.040047848433213934,0.04020338289320019,-0.01637256381723422
PRDX2,0.5353808012871089,-0.012796504628518572,0.31545908566945924,-0.3021973795432183
SERF2,0.5353790533099047,-0.09300092652371221,0.2219062524856107,-0.2835451700315354
S100A6,0.5349105788928991,-0.24549792228163184,0.40369553159870447,-0.412719241305811
ALDOA,0.5324984803089396,-0.046236282088365166,0.06408349403112866,-0.05034774289761754
GSTP1,0.5280411583916518,0.06257257019221485,0.08130760601103079,-0.03336381795830258
RPL36AL,0.5246468430988124,0.12455390597581474,0.20802540073391995,-0.1281962050788659
SUMO2,0.5191589918350127,0.042708613858070336,0.18842845789343854,-0.07709929405879656
LAMTOR5,0.5189350343538236,0.02027997857922481,0.1196936578207426,-0.12704920577974257
OCIAD2,0.5171911055029251,-0.138839774264497,0.2551608090570337,-0.31043651000106864
EMP3,0.5153335883981287,-0.21725498905920265,0.2776050318945722,-0.34827430233543205
PFN1,0.5111863606617403,0.19527107779340674,-0.06178340511021465,0.07114107325014371
ATP6V0E1,0.5103138910857392,-0.09318358698534163,0.2561844083796362,-0.2280870546323601
LGALS3,0.5100388932433685,-0.2528319339330346,0.43480800956812304,-0.35499807491060564
COX4I1,0.5077206739294143,0.1504142504352186,0.031225573432271364,-0.05671914471033052
NDUFB7,0.5072795398807388,-0.05642190172857474,0.23047208250265333,-0.2200949285005101
