gene,corr_H,corr_S,corr_M,corr_R
COL6A1,0.48856053490579876,-0.5190189451486169,0.6663417076407839,-0.5710188470355363
PHLDA2,0.7263934086728894,-0.31008463727761437,0.658291383709018,-0.56077974245565
IGFBP4,0.46770230822192677,-0.42719241512392786,0.5672606700671565,-0.45300879957178725
GNAS,0.6414363627159684,-0.32577456805134486,0.5490098577668098,-0.46891739697036255
ABR,0.4729784563582719,-0.23571637836055398,0.5366168891739983,-0.41962986746658
NHERF2,0.4976768078197498,-0.3048266798533473,0.5349983530725739,-0.5089326233063275
SLCO4A1,0.4082882430429903,-0.42835464012042546,0.5224022012395815,-0.5552587838519351
SYNJ2,0.401524490436669,-0.4344861197539399,0.5114152064850225,-0.4458390258669335
GSN,0.40518621935508625,-0.3616220529206594,0.5079544310989744,-0.38234436841019864
ETV1,0.3528202791876015,-0.38103303553336304,0.5055890117676776,-0.3603921823185042
GALNT10,0.3960680439170296,-0.2185467950005634,0.5024063337554387,-0.40572784884129015
FN1,0.39950671175306113,-0.35934493564186865,0.5019361537236788,-0.48738679550314096
LGALS3BP,0.42336909675407347,-0.35371199454570995,0.49936875335940006,-0.49080286852570504
DSTN,0.5830883648010802,-0.09921622918231209,0.4984329075745422,-0.3821519351220569
NDRG1,0.4092054239471961,-0.3595418011296066,0.4859816540304441,-0.4294828019893745
LTBP1,0.4169875071769918,-0.3983999992476337,0.482436105347664,-0.43578415333128
TGFBR2,0.4847003348485637,-0.2260214776608219,0.4792746780201491,-0.3573890703247863
CST3,0.4181008815698596,-0.3738930069195817,0.4786107305824877,-0.415021146916862
NIBAN2,0.4519943759443396,-0.2257950173810217,0.46788859636323993,-0.4362069503674414
TIMP1,0.5043250597598449,-0.363731618002075,0.46223144515819276,-0.42906950388181664
PYGB,0.4337634289347111,-0.3267163953398278,0.4479710029268969,-0.2579009629256856
MARCKSL1,0.3867774078531525,-0.28071532802621385,0.44725448469490164,-0.4636580214947381
DDX17,0.42209753249045284,-0.12694370087155354,0.44639083498280385,-0.4006551499934861
MALAT1,0.33790720430509064,-0.26588258419652483,0.44493278762532656,-0.2505947673135851
ABCC3,0.38526379546227685,-0.274206827219397,0.4439994624254499,-0.4328683582260605
CAVIN3,0.4502496849507198,-0.25072483141893437,0.44163629929365644,-0.3771482125027649
SVIL,0.36713031205615054,-0.24867653797822178,0.44064695793509073,-0.2910907049054285
COL18A1,0.31996769456136476,-0.28079359733597475,0.4352777791418018,-0.4133942940257004
LGALS3,0.5100388932433685,-0.2528319339330346,0.43480800956812304,-0.35499807491060564
CD63,0.6067655397882804,-0.21662095710652568,0.42798110802268385,-0.35552069076502224
ITGB5,0.3736221539144163,-0.24255873410689113,0.42759484622292987,-0.35974515733370066
MRC2,0.3869997186362155,-0.15100825264524723,0.42530190602475665,-0.31669757473073296
MGAT4B,0.44569891066353484,-0.12376024419650972,0.4240215907898919,-0.3254689867043331
PHC2,0.438902783784765,-0.14818602731578942,0.42334665596324106,-0.3680750555119681
IGFBP3,0.37731222748651644,-0.11109246722899571,0.421482158489664,-0.22064164463767316
SGSM2,0.3260140540890984,-0.10386240457605865,0.4183845944804671,-0.2619998745132125
TSC22D1,0.3237919765722168,-0.4980911821575585,0.4168281647840562,-0.32422124876286423
PLXNA1,0.3807003618680865,-0.14655195801425477,0.4156969890440952,-0.3518848308556577
TOR4A,0.34538672892391686,-0.11998099182477547,0.4137338749059749,-0.25079647109062986
MAGI1,0.33439574481284523,-0.29960894442661923,0.4133782650117491,-0.3954261376070965
PXDN,0.373587982057945,-0.39602346763351454,0.4128806943362137,-0.38413711441810305
KRT18P10,0.44677758679509644,-0.07282238306727291,0.40932787043289126,-0.17792107314006556
DST,0.40684841269008243,-0.21140794476517846,0.4074250353006746,-0.24289525122784056
NQO1,0.4699761170150361,-0.25311728601849015,0.4051661665122741,-0.3330343809076314
S100A6,0.5349105788928991,-0.24549792228163184,0.40369553159870447,-0.412719241305811
ITGA10,0.2518911545944188,-0.2796334518601916,0.4034340401768731,-0.4605973722534831
ESYT2,0.43428785147534077,-0.24953022275045741,0.40255533161715873,-0.41904725315085894
CSF1,0.38297591159619176,-0.17421575347940949,0.3945033222848481,-0.3522687111218233
TMEM131,0.3857229020975137,-0.28570109206407335,0.3923997982435289,-0.401777843457021
TNFRSF21,0.3654932177197527,-0.2077548761429674,0.39218387922835285,-0.40059420967873444
