gene,corr_H,corr_S,corr_M,corr_R
HMGA1P2,-0.3326733029344396,0.268249482804037,-0.6100271795021278,0.47999010819471716
CASC8,-0.35860139934043983,0.5663807974126631,-0.6734688932913914,0.4710293929225951
HSP90AB3P,-0.05170688935463972,0.3646439500512221,-0.5822476792292457,0.46145289670281686
GADD45B,-0.24487655831817512,0.4769120301566029,-0.5329345732002855,0.44629332836233027
EIF4A1P2,-0.03292062193967125,0.3296159872495471,-0.5335297929005451,0.4377743478483354
NPM1,0.06777773755701197,0.301687588119463,-0.4270933348650398,0.430494170405238
NPM1P7,0.07332164407787888,0.33130921519941237,-0.4398773477452026,0.4257303962441765
MAFF,-0.14165042093183083,0.37095910649152425,-0.34917357491201745,0.4212567445910577
FBP1,-0.2320378374231107,0.5277669434040667,-0.543510509069182,0.4160549101098506
MPP4,-0.27194866271620455,0.5574754778176881,-0.5548648875531283,0.41462909129170156
PABPC1,-0.08419766670209279,0.30418485157422215,-0.5089750436975149,0.413258570458482
NPM1P6,0.0719666774258326,0.37865306099591917,-0.4761625188572579,0.406957023515037
RPS21,0.09039907705005043,0.4368879858037965,-0.4513851555856303,0.40364792869917876
HSP90AB1,0.02144845352709282,0.38566992250545695,-0.5476752252147861,0.40073644491803706
AXL,-0.15558406697749255,0.27179938519583813,-0.4964545301705285,0.3960827248341153
EIF4A1,0.003336244408710015,0.27722108148656216,-0.4945011982141966,0.3956293248711442
NPM1P27,0.093423687921006,0.30726060133409316,-0.44394173815907345,0.39458874751903195
NUDCD1,-0.07154010362955855,0.27097477488308863,-0.28943551478913604,0.3935080531157826
EIF4A1P10,0.047279756045494774,0.3158350667900382,-0.4732797533277466,0.3927021526325476
SNAI1,-0.2535594429320996,0.14421067247250688,-0.3411163739670277,0.39139703132916154
NPM1P18,-0.16892956159718897,0.3779921899361333,-0.45719322947123736,0.38691936782278685
HNRNPA1P7,0.06615833178416329,0.2392743426643423,-0.4424832674418098,0.38446459063818716
ENSG00000264772,0.038623684855134115,0.278052053247825,-0.4858216806058861,0.3839851996457045
RPS13,0.18878228624101126,0.4374563596624894,-0.35055819865855714,0.3807836273162393
ENSG00000232176,-0.22987740268280607,0.34564782697301394,-0.34276118940306466,0.38057969614410325
ENSG00000228818,-0.03208649919434799,0.2799163282303607,-0.4049526423272832,0.3782230001057615
PABPC1P4,-0.1175924988636032,0.29129741185701585,-0.3740173463227014,0.3746755530236686
NPM1P39,0.11857344002949037,0.3543568467396334,-0.44790206497497037,0.3741998164646281
SNAPC1,-0.15835647414654272,0.430044280854989,-0.4528737809161768,0.37235056590036547
USP2-AS1,-0.1868882237752217,0.3595566343417465,-0.2789561784374823,0.37087133672318945
RPS6,0.08578842107401291,0.36570144739700206,-0.3768816762324188,0.3671427039044738
RIMS2,-0.2858160403075584,0.4785174200688987,-0.5232185734709544,0.3664926982915319
SFTA1P,-0.2397586073721928,0.4456176250997725,-0.4575656303145634,0.36603978086137057
RND3,-0.15734333883575072,0.347045278900139,-0.41618385262716784,0.36590473466889056
FAM24B,-0.2142547019064061,0.3167332680010847,-0.3568071593722671,0.36576828298260644
SNHG21,-0.24148056766234657,0.33838231670104635,-0.35986987454329744,0.36530888152250285
ENSG00000240652,-0.1769063581192713,0.32832467408566435,-0.36562034819219497,0.3608621717130148
ENSG00000249061,-0.32324967337644,0.29513855480840573,-0.47462814374620366,0.360568578060794
RHEBP1,-0.10873785857379888,0.2210562969790519,-0.44591359371140626,0.35922135186543597
NPM1P24,0.14741092551763907,0.36855899240938544,-0.4099636900142473,0.3584449149155217
UBE4A,-0.09500847685160145,0.37117917272605405,-0.22156733303341627,0.3572526530195841
RPS7P10,0.10813063966917641,0.3333967572547153,-0.3807686057640536,0.35723503328604134
HMGA1P8,-0.14702832079711417,0.20010403533214888,-0.5369383217827955,0.35674844768367164
GART,-0.08848638203486447,0.31631769748136995,-0.40498684496079457,0.35609195662864696
ENSG00000232389,-0.07844597902925067,0.26389558791606693,-0.3677264142470127,0.3558626395392083
RPS13P2,0.1926860243600967,0.4228682586642008,-0.33005029058451507,0.35345325844322145
NR1D1,-0.15954781501589588,0.2349384631054384,-0.33973118334826163,0.3510537837837227
RPS15AP24,-0.3114579331562979,0.20498047192306665,-0.3185668191478157,0.3498683797887612
ENSG00000267279,-0.2288756648617071,0.45871912034486245,-0.43358246475778706,0.3497726769912853
RHEB,-0.025052403479802622,0.12822142980502307,-0.36343659643211473,0.34956421367277973
