gene,log1p_mean_diff_PKH26_High_vs_G1
COL6A1,4.159789006808992
LGALS3BP,3.809639837320975
SLCO4A1,3.7861474516984206
GALNT10,3.6762949254155592
GSN,3.5939307892315404
ABR,3.533191278517732
FN1,3.515889876207579
LTBP1,3.276292145081566
MARCKSL1,3.1672674980397835
ETV1,2.9907461470713503
SYNJ2,2.9837380221957868
IGFBP3,2.9466157597702636
NHERF2,2.908676081727284
PYGB,2.8461497520249583
NDRG1,2.7839470504028547
TNFRSF21,2.77215881636232
CLU,2.688838513630044
DDX17,2.675270186333317
MAGI1,2.650481885703293
NET1,2.6488402571250558
S100A4,2.6483523415312127
CSF1,2.615061092800782
MORC4,2.5909281950394916
MLPH,2.57097897225586
ITGB5,2.5643123322154935
ABCC3,2.5540316570995394
ALDH3A2,2.4644374227401356
PHC2,2.4331152745372506
CAVIN3,2.4196411315285813
COL18A1,2.4076990471963025
TMEM131,2.389852856175993
SVIL,2.361690458971998
PLXNA1,2.3459360372049765
HMGA2-AS1,2.3232408259642487
DPYSL2,2.3161263886425183
PXDN,2.3032710484996053
ESYT2,2.2968789676877073
ARL4C,2.293056620797886
MIR3681HG,2.2833450905866868
RTL8B,2.275044930550141
MGAT4B,2.2745253420316365
GALNT1,2.247823559731893
TBCC,2.2417062558708736
H2BC12,2.232761517633303
SORL1,2.2174558043139503
TBC1D9B,2.2089835899180623
PHF20L1,2.208260178953973
TGFBR2,2.2059206060516985
TRIB2,2.2044544950265075
GALNT5,2.190877848127463
