gene,log1p_mean_diff_sector_vs_rest
TM7SF2,2.5819341163570617
MARCKSL1,2.518145320748852
ZBTB4,2.266152311047504
GALNT10,2.085543151830364
GSN,2.0594093013261494
ETHE1,2.032364605101537
SLCO4A1,2.0256935070782216
FHL1,2.0073717596154985
TNKS1BP1,2.005913403862065
IGFBP1,2.005256383601063
PGLS,1.9891301445401055
CLU,1.9327192034073741
ADGRE5,1.9202777504855328
ADIPOR2,1.9019699252486406
FAM98A,1.8952558713236989
LGALS3BP,1.8751044471600768
DDX17,1.872288701457982
NINJ1,1.8432341186533412
KRCC1,1.8388592147852634
GALNT5,1.8248426574795271
SOX4,1.8131646020875545
S100PBP,1.8077634556524205
MORC4,1.7952642261678275
LINC00667,1.793473155904207
GLT8D1,1.7920872986322047
NAPRT,1.7799406853331308
TSC2,1.76636048921841
TCF25,1.761486433999349
UROS,1.7446496948329853
TMEM9,1.727176440778364
ZEB1,1.7152637480048005
ROR1,1.711809617294167
H2BC12,1.7034907262523205
NOL3,1.700462620429055
COL6A1,1.6832311914976605
FN1,1.6594196490150193
FRMD8,1.648498343909469
MSRB1,1.6460121159709824
PDE10A,1.6457831891808223
MAGI1,1.6456102704675568
ARL4C,1.6290184301611266
SMPD1,1.6227224164988043
PTOV1,1.6173717889563664
NET1,1.6154789411233987
SNX21,1.5941509365825712
CYB5R1,1.5925459572631222
ZSCAN18,1.591866101336222
BCAR1,1.5899839093731187
ADAR,1.5890285572769494
DNAAF5,1.5786978483237348
