gene,log1p_mean_diff_sector_vs_rest
CCN1,3.160758513797236
ADM,3.135710125848745
PTPN14,3.120883638557607
GOLGA5,3.112133773729561
PLAT,3.027628309229778
ARMC9,2.998692982899068
TGFBI,2.9778306363661944
BAIAP3,2.8947826401484074
SUCLG2,2.8938039910793654
RND3,2.881254807380844
TOR1AIP1,2.8491994998073364
CALB2,2.797678475804213
CRADD,2.768085020520695
PPP1R15A,2.7521904590185087
NME7,2.7156006368868826
SUCLG2P2,2.6294759744350733
BBS2,2.5831935703570608
KRT15,2.55428642487242
ACSL4,2.5359688895004435
ENSG00000117289,2.529139591605488
ISG20,2.513090358413005
RSRP1,2.5103824626829527
HIBADH,2.508144562021795
P2RX4,2.5038698796846792
KLHL7,2.500011594998157
SERPINE1,2.4581339747051247
MGLL,2.445202308998821
INTS13,2.399284568773736
GEMIN8,2.3735304113048583
KDELR3,2.3730056236510424
GTPBP1,2.3413399933482584
CEBPG,2.3338082056210165
STC1,2.325663522178803
SBF2,2.297640139211893
TGM2,2.2847494461344
FOS,2.260357724594268
ARRDC3,2.2569088418157666
ELF4,2.2543271911621074
ALDH3B1,2.2523255494044685
PIM1,2.2383935884352146
TUT4,2.237631985814587
TSPAN4,2.203538384617443
PDXDC1,2.200689969710895
LOXL2,2.1965500042130994
COL4A1,2.1674430413372052
COG1,2.147424165324626
ABCE1,2.1401394121898023
LCLAT1,2.1314318431362707
FKBP7,2.1226553454319177
BRAT1,2.118787589921811
