gene,log1p_mean_diff_sector_vs_rest
TFRC,3.827357162610123
MYC,3.8010519753533423
MGLL,3.4897559155484954
ANKRD1,3.400507562649593
FBP1,3.3757224544096687
DKK1,3.3020447788465903
GADD45B,3.1918267052804254
ASNS,3.1591062290713445
GPRC5A,3.1518027638941652
AMOTL2,3.1360767941768586
ADAMTS6,3.0840227113336773
DUSP1,3.0632145825316006
RND3,3.043678715689534
SFTA1P,3.0148984708984004
CPSF3,2.95727904557355
SNAPC1,2.955132120507925
CCN2,2.9418032718639697
AOX1,2.941235449228003
DLC1,2.934648495940864
MPP4,2.8919584325084653
ZNF143,2.866136275262962
PHLDB2,2.8420704562068826
CCN1,2.8356699477336083
AKAP12,2.8301086176129693
ZNF330,2.8287080388506234
SNHG1,2.8232673747834847
DLGAP5,2.7864979779173447
PLK2,2.774230214762249
SERPINE1,2.754634102876836
PRMT5,2.7529809640871648
RAB9A,2.749321058765425
PDP1,2.7364154624431425
TFB1M,2.72862201779032
LIMA1,2.7010817945005368
GART,2.6953986569335036
SORD,2.6925079637376976
CLIP4,2.6872218062013964
CDC20,2.6579143770726805
CRADD,2.654104192011572
AHCY,2.6204327981235522
TYMS,2.616306832092638
USP36,2.6025636984732445
NOLC1,2.5992549332922468
ANXA3,2.5940223227684602
GMPS,2.57627440656674
TGFBI,2.554253060585671
THAP9-AS1,2.542844172840588
NUDCD1,2.5289641039409516
CASC8,2.5231971919805236
TGM2,2.5147916284875755
