gene,log1p_mean_diff_sector_vs_rest
L3MBTL2,2.944190263265237
PREB,2.5566119944179766
COQ3,2.444634041966289
ACOX2,2.269149746057809
UQCC3,2.142194554622395
CCDC86,2.1372613026035383
NIFK,2.0890776237912894
LTV1,1.9519798117947258
EPS15L1,1.9418576020356184
C11ORF24,1.931065769022752
IMP3,1.8827583554288108
MAP4K4,1.8787612991180196
TMEM19,1.8436013449620563
ARL4A,1.8279374473570824
CHAC2,1.8216973620243428
CGGBP1,1.8187159767572219
DYNC2I2,1.8136552227992815
S100A4,1.8070309115540484
FAM136A,1.798866330817079
GPATCH8,1.7983925420110594
MORC4,1.7964860707414854
BTBD10,1.7958182784341898
EEF1AKMT2,1.780509874161494
SMG7,1.7647165720528006
SRP68,1.7606543348271062
THBS1,1.7532348688469193
DPYSL2,1.744407183827052
TRAPPC10,1.7146039881556296
KYNU,1.69999781782241
CREB3,1.691615294003602
BRD7,1.6908111267706674
TIGAR,1.68576656042174
PITPNB,1.683214942619442
DDX39A,1.6734747142642608
DTX3L,1.6729442069928306
BYSL,1.655798151321986
HNRNPM,1.651785724646456
SYS1,1.651245056384412
ACAT2,1.643309501760002
ABCD4,1.6369688640732036
SUPT6H,1.6349574741218653
LGMN,1.6245540641476328
RTCB,1.613223126575586
GET3,1.6016994855510722
ARMC8,1.5964585158573135
FAM120B,1.5938966994625545
NME6,1.5918781762835457
MERTK,1.5706620348578284
FN1,1.5704297606196693
RWDD3,1.5696336202278083
