gene,log1p_mean_diff_sector_vs_rest
ABR,2.361354216616672
BCR,2.218574689348566
CD82,2.2118315661352748
XRCC4,2.1619553731014847
SLC25A11,2.1274326334312286
FBN1,2.0936212631842093
ABCC3,2.0894225723297004
CHST14,2.085141931458079
TRIM16L,2.0680544633075764
SLC25A24,1.9703683529985856
TBC1D9B,1.9214786791859044
GNA12,1.8991969919536396
ACSL5,1.8967913422883336
TMEM131,1.896499089344887
POLR1A,1.8959498306392335
NFYC,1.888852596244917
ATG13,1.8823798124662403
UBE2Z,1.8777758770830109
TTK,1.860651372257879
TRIB2,1.8556655859387408
CSF1,1.855636118583205
DIP2B,1.8461508410172638
PPME1,1.836567865329068
MOB3C,1.8348902163161873
USB1,1.8305145980899482
TULP3,1.8264196106715673
CAT,1.813393136142424
EXO1,1.813108678166107
BMP4,1.7944373765568242
USF3,1.7902489414192235
EGLN2,1.7893466688139017
TCIRG1,1.778205459935437
NINJ1,1.7691946867268533
TANC2,1.7617234490538458
KIAA1586,1.7602127793068547
ALMS1,1.7576618554107495
TP53BP1,1.7539910855301961
PPP3CB,1.7395231707259864
PGM1,1.7300158559841998
ZNF76,1.7262535985964296
ESYT2,1.7143745705918727
EIF4EBP2,1.7091737559408453
SLC25A14,1.7044571746863733
FAM220A,1.701573420337608
TMEM104,1.690838971534805
ASH2L,1.690253668198242
ERAL1,1.6875282673990815
PPIC,1.687232853853601
GAS8,1.6868775955917417
FMNL3,1.6860747004838186
