contrast_a,contrast_b,ID_REF,n_a,n_b,median_a,median_b,delta_median_a_minus_b,mean_a,mean_b,delta_mean_a_minus_b,std_a,std_b,u_statistic,p_value,rank_biserial,q_value_bh,abs_delta_median,abs_rank_biserial
D2,not_D2,cg26039484,91,272,0.188871870846913,0.522076109063008,-0.333204238216095,0.2189540395437312,0.5245425364125781,-0.3055884968688469,0.12714438574781237,0.19254655715892458,2407.0,1.5017020493197978e-30,-0.8055106658047835,7.508510246598989e-27,0.333204238216095,0.8055106658047835
D2,not_D2,cg01787382,91,272,0.169539029480174,0.5003209634763415,-0.3307819339961675,0.22015661098766487,0.5099819410042618,-0.2898253300165969,0.15083775916632366,0.1845422343930669,2502.0,4.439541249164733e-30,-0.7978345184227538,1.1098853122911833e-26,0.3307819339961675,0.7978345184227538
D2,not_D2,cg12466613,91,272,0.275510208023029,0.706710434662033,-0.431200226639004,0.3329772980805428,0.6741657917841312,-0.34118849370358834,0.18606479596493752,0.17594478150273493,2595.0,1.5136444818590654e-29,-0.7903199741435035,2.5227408030984422e-26,0.431200226639004,0.7903199741435035
D2,not_D2,cg07152817,91,272,0.313422899283594,0.712553282235267,-0.399130382951673,0.36197649973449886,0.6767907236459213,-0.31481422391142244,0.17979295321248392,0.16459918828230521,2701.0,1.7999015397089521e-28,-0.7817550096961862,1.8297193920873944e-25,0.399130382951673,0.7817550096961862
D2,not_D2,cg26738530,91,272,0.215008907239853,0.582005736793545,-0.36699682955369195,0.2652660296547093,0.5669853091134047,-0.3017192794586954,0.16664957637738836,0.17931458235084544,2772.0,1.8297193920873943e-28,-0.7760180995475113,1.8297193920873944e-25,0.36699682955369195,0.7760180995475113
D2,not_D2,cg07589972,91,272,0.261850885397025,0.6872392113008414,-0.4253883259038164,0.3311361962218586,0.6533338902734873,-0.32219769405162874,0.1866086946128136,0.16661967806495867,2821.0,2.8432471220582585e-28,-0.7720588235294118,2.0308908014701847e-25,0.4253883259038164,0.7720588235294118
D2,not_D2,cg04212450,91,272,0.263261531573024,0.6454873641884336,-0.38222583261540954,0.3128835535299757,0.6213967249095224,-0.30851317137954665,0.16537715166408992,0.1800816608118952,2785.0,2.618361900188053e-28,-0.7749676793794441,2.0308908014701847e-25,0.38222583261540954,0.7749676793794441
D2,not_D2,cg06017143,91,272,0.272841227939068,0.6286023772606579,-0.3557611493215899,0.3205886935343695,0.6177070795934733,-0.2971183860591038,0.16966396104505552,0.17996265120250599,2881.0,6.124415988549131e-28,-0.7672107304460245,3.827759992843207e-25,0.3557611493215899,0.7672107304460245
D2,not_D2,cg05404847,91,272,0.235599754740038,0.584127738671102,-0.348527983931064,0.2841385014445584,0.5692557430617089,-0.2851172416171505,0.16301203382020438,0.18254315152573242,2891.0,6.956735805014252e-28,-0.7664027149321266,3.864853225007918e-25,0.348527983931064,0.7664027149321266
D2,not_D2,cg19446340,91,272,0.289882035653136,0.682651310813231,-0.392769275160095,0.33964315492166697,0.6531911733206559,-0.31354801839898894,0.18690571309436996,0.16688090196961058,2900.0,7.801232005944149e-28,-0.7656755009696186,3.9006160029720744e-25,0.392769275160095,0.7656755009696186
D2,not_D2,cg01676105,91,272,0.57779393254451,0.268195138707093,0.30959879383741695,0.5576332840780996,0.2719725577060906,0.28566072637200907,0.16373878577252232,0.17185498977708474,21741.0,1.219560476874291e-27,0.7567065287653523,5.543456713064959e-25,0.30959879383741695,0.7567065287653523
D2,not_D2,cg15368264,91,272,0.260153972886593,0.6383712368573691,-0.3782172639707761,0.3150277347529177,0.6122878699244542,-0.2972601351715365,0.17626533322501953,0.17127721935732648,2971.0,1.9189622140548813e-27,-0.7599385908209437,7.694781836122767e-25,0.3782172639707761,0.7599385908209437
D2,not_D2,cg27232401,91,272,0.24238991673458848,0.6156348659003735,-0.37324494916578504,0.2892849718135601,0.5915894590074737,-0.3023044871939136,0.18027923632194567,0.16783925116725584,2873.0,2.0006432773919194e-27,-0.7678571428571428,7.694781836122767e-25,0.37324494916578504,0.7678571428571428
D2,not_D2,cg09319828,91,272,0.28953517649750804,0.685189551503292,-0.39565437500578393,0.3372503228699814,0.6579918013445629,-0.3207414784745815,0.1751555672216657,0.20245403776495483,2949.0,4.346250316691107e-27,-0.761716224951519,1.5522322559611098e-24,0.39565437500578393,0.761716224951519
D2,not_D2,cg03534360,91,272,0.280136189536457,0.6617064796571115,-0.38157029012065447,0.3140333504578218,0.6411652680311578,-0.327131917573336,0.19633210851065006,0.1847734196260294,3059.0,5.801659430592484e-27,-0.7528280542986425,1.9338864768641613e-24,0.38157029012065447,0.7528280542986425
D2,not_D2,cg21245684,91,272,0.261108506454019,0.6275380775026791,-0.3664295710486601,0.30274933076399635,0.606411728285689,-0.30366239752169266,0.1803832525147391,0.17995260526704898,3039.0,6.675788277178644e-27,-0.7544440853264383,2.086183836618326e-24,0.3664295710486601,0.7544440853264383
D2,not_D2,cg05388880,91,272,0.2563703245981095,0.6712545545957009,-0.41488422999759145,0.3318995870219629,0.6401332550423424,-0.3082336680203795,0.18425777451042477,0.18035696664034617,3023.0,9.116342704300536e-27,-0.7557369101486748,2.681277265970746e-24,0.41488422999759145,0.7557369101486748
D2,not_D2,cg00425843,91,272,0.305545298265441,0.696672823004926,-0.3911275247394849,0.35806828863341683,0.6662915591539055,-0.30822327052048865,0.1935564626292113,0.1620903170774751,3108.0,1.0694731599313472e-26,-0.748868778280543,2.9707587775870752e-24,0.3911275247394849,0.748868778280543
D2,not_D2,cg23387692,91,272,0.276356835820655,0.7111275477776705,-0.4347707119570155,0.3476581502559424,0.6652425218871383,-0.3175843716311959,0.20363082511881786,0.14596282723550005,3118.0,1.2111790552660379e-26,-0.7480607627666451,3.0279476381650946e-24,0.4347707119570155,0.7480607627666451
D2,not_D2,cg09559196,91,272,0.166078111841631,0.484535222345581,-0.31845711050395,0.21725089527913388,0.49262093857172823,-0.27537004329259435,0.15869820534264317,0.2045171010031257,3086.0,1.2040499191544514e-26,-0.7506464124111183,3.0279476381650946e-24,0.31845711050395,0.7506464124111183
D2,not_D2,cg00071984,91,272,0.244206358532429,0.6311394689297195,-0.3869331103972905,0.3017564442893804,0.6365864951619287,-0.33483005087254825,0.2093164250984332,0.2282406046077285,3109.0,1.605176490087842e-26,-0.7487879767291532,3.821848785923433e-24,0.3869331103972905,0.7487879767291532
D2,not_D2,cg05341786,91,272,0.292546608452877,0.701410377984369,-0.408863769531492,0.3501251703343351,0.6588002181258192,-0.30867504779148414,0.1805526416295842,0.18055160791253683,3063.0,1.8268648107922045e-26,-0.7525048480930834,4.151965479073192e-24,0.408863769531492,0.7525048480930834
D2,not_D2,cg18712566,91,272,0.322753229920017,0.710083933866299,-0.387330703946282,0.37668491241698626,0.6706470339385633,-0.293962121521577,0.1783334894716644,0.16641691549663512,3146.0,2.0882955893999786e-26,-0.7457983193277311,4.539773020434736e-24,0.387330703946282,0.7457983193277311
D2,not_D2,cg26474717,91,272,0.262113512119275,0.6259056168081525,-0.36379210468887746,0.31249775999633156,0.6095952020780274,-0.29709744208169586,0.18091040231495192,0.17910316517758948,3036.0,2.3401743318478644e-26,-0.7546864899806076,4.875363191349717e-24,0.36379210468887746,0.7546864899806076
D2,not_D2,cg19961800,91,272,0.1464128044521395,0.581756031299701,-0.4353432268475615,0.21557607581263855,0.557084531656087,-0.3415084558434484,0.20370043359667425,0.2344673397950613,3097.0,2.79394067798976e-26,-0.7497575953458306,5.5878813559795195e-24,0.4353432268475615,0.7497575953458306
D2,not_D2,cg03195147,91,272,0.264662977944653,0.71297373184651,-0.44831075390185704,0.34805785884013446,0.6767548419753128,-0.3286969831351783,0.20808119875395162,0.17491797771226908,3104.0,3.708050647812637e-26,-0.7491919844861021,7.130866630408918e-24,0.44831075390185704,0.7491919844861021
D2,not_D2,cg19572323,91,272,0.198043018317269,0.554782607285286,-0.35673958896801694,0.23983054162872083,0.5590600752127721,-0.31922953358405126,0.16435118963942819,0.23818302125091317,3212.0,3.8758432402665324e-26,-0.7404654169360052,7.17748748197506e-24,0.35673958896801694,0.7404654169360052
D2,not_D2,cg11631592,91,272,0.26267871769538,0.6111395286954224,-0.34846081100004245,0.31779512294000545,0.5993549794011228,-0.28155985646111736,0.17218795924307745,0.19334948964788629,3239.0,5.401667561645454e-26,-0.738283775048481,9.645834931509741e-24,0.34846081100004245,0.738283775048481
D2,not_D2,cg24496563,91,272,0.22513040607649248,0.761679046074466,-0.5365486399979735,0.3384910265251075,0.7107134441451217,-0.37222241762001423,0.24595434969851,0.16870853402452632,3187.0,8.538121147331767e-26,-0.7424854557207499,1.3771163140857688e-23,0.5365486399979735,0.7424854557207499
D2,not_D2,cg08480996,91,272,0.2706060133720175,0.710133162274901,-0.43952714890288347,0.3463386358517123,0.6772446239889797,-0.33090598813726735,0.21277631511074557,0.18439720379723798,3184.0,8.227486506910793e-26,-0.7427278603749192,1.3771163140857688e-23,0.43952714890288347,0.7427278603749192
D2,not_D2,cg01010328,91,272,0.245973975033266,0.604192876998358,-0.358218901965092,0.30163389598857254,0.5961253500094447,-0.2944914540208721,0.17518132262510805,0.19751479833499475,3170.0,8.426567494772415e-26,-0.7438590820943762,1.3771163140857688e-23,0.358218901965092,0.7438590820943762
