ID_REF,direction,chromosome,mapinfo,chromosome_arm
cg19193931,lower_in_a,21,38081976.0,21q
cg10456990,lower_in_a,21,38077597.0,21q
cg19498960,lower_in_a,21,38077270.0,21q
cg22274813,lower_in_a,21,38067101.0,21q
cg10119001,higher_in_a,1,153114766.0,1q
cg12516669,higher_in_a,4,91045103.0,4q
cg23352271,higher_in_a,11,49915274.0,11p
cg11222703,higher_in_a,4,190983569.0,4q
cg00203347,higher_in_a,12,108603943.0,12q
cg25279739,higher_in_a,1,3500469.0,1p
cg07615087,lower_in_a,21,38077347.0,21q
cg02037307,lower_in_a,5,134363562.0,5q
cg26789038,higher_in_a,7,50468722.0,7p
cg08066129,lower_in_a,21,38077258.0,21q
cg09096383,higher_in_a,4,70796842.0,4q
cg24216893,higher_in_a,2,1426674.0,2p
cg23753006,higher_in_a,2,143044057.0,2q
cg09237447,higher_in_a,4,19984063.0,4p
cg24080247,lower_in_a,21,38082613.0,21q
cg21110092,higher_in_a,7,30740619.0,7p
cg06880615,higher_in_a,16,10051500.0,16p
cg10294939,higher_in_a,10,1850312.0,10p
cg00440195,higher_in_a,16,86652360.0,16q
cg12522722,higher_in_a,11,113604256.0,11q
cg24995678,higher_in_a,2,235936394.0,2q
cg08477332,higher_in_a,1,153590243.0,1q
cg03928154,higher_in_a,12,131194179.0,12q
cg24140586,higher_in_a,10,96697436.0,10q
cg01900397,higher_in_a,5,41071990.0,5p
cg21472835,higher_in_a,4,46874750.0,4p
cg19526685,higher_in_a,8,126963507.0,8q
cg15655935,higher_in_a,11,59815177.0,11q
cg16400631,lower_in_a,1,91300215.0,1p
cg08701134,higher_in_a,16,69969618.0,16q
cg21873275,higher_in_a,1,149069813.0,1q
cg12993715,lower_in_a,3,147140847.0,3q
cg17276002,higher_in_a,10,75172806.0,10q
cg22120395,higher_in_a,4,130699705.0,4q
cg18336878,higher_in_a,4,70709536.0,4q
cg22785561,higher_in_a,4,46923365.0,4p
cg02567750,higher_in_a,1,247569605.0,1q
cg06614118,higher_in_a,5,180414906.0,5q
cg03147324,higher_in_a,15,29928082.0,15q
cg07788140,higher_in_a,12,113921202.0,12q
cg10152684,higher_in_a,7,2423467.0,7p
cg13035219,higher_in_a,7,1403804.0,7p
cg20377881,higher_in_a,12,27930307.0,12p
cg26002568,higher_in_a,4,74806905.0,4q
cg07874011,higher_in_a,7,3134592.0,7p
cg27395310,higher_in_a,18,58996785.0,18q
cg18010718,higher_in_a,17,74075195.0,17q
cg20507963,lower_in_a,4,13541863.0,4p
cg13945749,higher_in_a,5,2866465.0,5p
cg23518497,higher_in_a,12,60298928.0,12q
cg14715697,higher_in_a,17,77127487.0,17q
cg26866325,higher_in_a,4,74920559.0,4q
cg14515517,higher_in_a,10,26226964.0,10p
cg17772793,higher_in_a,6,168901202.0,6q
cg26720125,lower_in_a,21,38077673.0,21q
cg16278877,higher_in_a,11,64599084.0,11q
cg17277001,higher_in_a,5,1244503.0,5p
cg12249516,higher_in_a,6,49793920.0,6p
cg09421126,higher_in_a,7,99873963.0,7q
cg15384598,lower_in_a,14,24045549.0,14q
cg13941436,higher_in_a,9,138437177.0,9q
cg16340422,higher_in_a,17,17110120.0,17p
cg11236727,lower_in_a,2,119609592.0,2q
cg16252110,higher_in_a,5,2866877.0,5p
cg26782825,higher_in_a,8,110989116.0,8q
cg16600501,higher_in_a,19,15083842.0,19p
cg13800802,higher_in_a,9,98619666.0,9q
cg03243893,higher_in_a,8,2005683.0,8p
cg19585676,higher_in_a,6,29913343.0,6p
cg27287944,higher_in_a,19,1254435.0,19p
cg09098545,higher_in_a,4,97914176.0,4q
cg05042749,higher_in_a,11,50129456.0,11p
cg12984729,lower_in_a,15,76633817.0,15q
cg22169990,higher_in_a,7,150786051.0,7q
cg04388226,higher_in_a,12,128366031.0,12q
cg05404847,higher_in_a,19,42931316.0,19q
cg11252310,higher_in_a,11,126329507.0,11q
cg02352685,higher_in_a,5,180377617.0,5q
cg14302471,higher_in_a,7,158799777.0,7q
cg21081729,higher_in_a,5,112539140.0,5q
cg20595750,higher_in_a,10,405225.0,10p
cg22115892,higher_in_a,4,177198411.0,4q
cg09382096,lower_in_a,11,31827593.0,11p
cg14433497,lower_in_a,15,76634516.0,15q
cg25734089,higher_in_a,19,46969919.0,19q
cg04131792,higher_in_a,5,3320943.0,5p
cg24899558,higher_in_a,5,103329070.0,5q
cg26308992,higher_in_a,4,70825312.0,4q
cg18944653,higher_in_a,7,81381353.0,7q
cg04903883,higher_in_a,14,106321551.0,14q
cg12930930,higher_in_a,11,5372503.0,11p
cg07041999,higher_in_a,8,2178272.0,8p
cg25247290,lower_in_a,11,32461212.0,11p
cg15226275,higher_in_a,6,116381976.0,6q
cg12188614,higher_in_a,7,54697527.0,7p
cg15371806,higher_in_a,6,168417634.0,6q
cg00833639,higher_in_a,7,40873953.0,7p
cg01572513,lower_in_a,4,147557859.0,4q
cg20647610,lower_in_a,2,228736258.0,2q
cg09517033,higher_in_a,6,29461584.0,6p
cg24899806,higher_in_a,7,119914282.0,7q
cg10505610,higher_in_a,5,171782207.0,5q
cg27291539,higher_in_a,1,221342520.0,1q
cg01688536,higher_in_a,7,35296968.0,7p
cg11224748,higher_in_a,17,12415493.0,17p
cg24908403,higher_in_a,10,92493105.0,10q
cg09162993,higher_in_a,5,127922712.0,5q
cg15794856,higher_in_a,4,189100222.0,4q
cg26345613,higher_in_a,10,1713384.0,10p
cg12034118,lower_in_a,1,209979487.0,1q
cg26683252,higher_in_a,17,54802123.0,17q
cg20773915,higher_in_a,1,6171788.0,1p
cg22055728,lower_in_a,7,27205658.0,7p
cg23498518,higher_in_a,7,53104336.0,7p
cg01947943,higher_in_a,6,29012859.0,6p
cg24639690,higher_in_a,6,50166008.0,6p
cg25996586,higher_in_a,5,32786671.0,5p
cg17829746,higher_in_a,1,214170220.0,1q
cg09424006,higher_in_a,16,5657230.0,16p
cg27172769,higher_in_a,19,1255283.0,19p
cg07681935,lower_in_a,4,174452461.0,4q
cg23501228,higher_in_a,6,75917468.0,6q
cg27258696,higher_in_a,11,20987359.0,11p
cg06484232,higher_in_a,11,5905350.0,11p
cg03315407,higher_in_a,5,14810180.0,5p
cg09929879,higher_in_a,10,343794.0,10p
cg17627629,lower_in_a,5,179517140.0,5q
cg20540209,lower_in_a,15,76633981.0,15q
cg25722945,higher_in_a,10,28063252.0,10p
cg08708778,higher_in_a,5,146826146.0,5q
cg14289852,higher_in_a,7,157394633.0,7q
cg17551891,higher_in_a,7,1960795.0,7p
cg19403541,lower_in_a,4,174438312.0,4q
cg06188229,lower_in_a,1,226411818.0,1q
cg11328898,higher_in_a,11,131758858.0,11q
cg11681321,higher_in_a,15,60683059.0,15q
cg08085232,higher_in_a,2,65598271.0,2p
cg26864714,higher_in_a,10,133208907.0,10q
cg20064139,higher_in_a,20,41823021.0,20q
cg12417466,higher_in_a,3,35683819.0,3p
cg08307030,lower_in_a,15,76634380.0,15q
cg00698204,lower_in_a,21,38080694.0,21q
cg01090834,lower_in_a,21,38081193.0,21q
cg05891292,higher_in_a,7,53103310.0,7p
cg01706334,higher_in_a,8,72872845.0,8q
cg25473910,higher_in_a,7,41254173.0,7p
cg01733284,higher_in_a,1,158391119.0,1q
