candidate_gene,probe_id,direction,chromosome,position,delta_median_a_minus_b,delta_mean_a_minus_b,abs_delta_median,q_value_bh,p_value,rank_biserial,refgene_group,relation_to_cpg_island,regulatory_feature_group,regulatory_feature_name,phantom4_enhancers,dnase_name,openchromatin_name,tfbs_name,raw_gene_annotation
BMP4,cg16389901,,14,54423807.0,-0.1205940430676564,-0.0385121282403938,0.1205940430676564,0.8598610712398866,0.4896078876492228,-0.8015129682997117,TSS1500;TSS1500,S_Shore,Unclassified_Cell_type_specific,14:54423132-54423847,,chr14:54423225-54424075,,,BMP4;BMP4
BMP4,cg20297199,,14,54422775.0,-0.0469757101134259,-0.033385372539028,0.0469757101134259,0.8516239890009484,0.4729855406672487,-0.1062680115273775,5'UTR;5'UTR,Island,,,,chr14:54422105-54422915,,,BMP4;BMP4
GLI2,cg23681112,,2,121554926.0,-0.0479796469514279,0.0116696191625085,0.0479796469514279,0.9786806749849069,0.892930255098303,-0.0871757925072046,1stExon,,,,,,,,GLI2
GLI2,cg20547155,,2,121554882.0,-0.036879958291903,0.0035234327919434,0.036879958291903,0.9426652100192529,0.7398499977157225,-0.0547550432276656,5'UTR;1stExon,,,,,,,,GLI2;GLI2
GLI2,cg06969469,,2,121554817.0,-0.0234014518524818,-0.0138469461387017,0.0234014518524818,0.9786806749849069,0.891510927247047,0.0115273775216138,TSS200,,,,,,,,GLI2
OLIG2,cg08729810,,21,34396944.0,0.0161916971206366,0.0173035485829996,0.0161916971206366,0.9621061985209604,0.823562905933942,0.0331412103746397,TSS1500,Island,Unclassified_Cell_type_specific,21:34396890-34397023,,,chr21:34390965-34403759,chr21:34394319-34400923,OLIG2
PAX6,cg09382096,,11,31827593.0,-0.2470137970417755,-0.1602180380343373,0.2470137970417755,0.2510057321425517,0.0047939073346873,-0.4171469740634006,Body;Body;Body,N_Shore,,,,chr11:31827025-31828215,,,PAX6;PAX6;PAX6
PAX6,cg09537620,,11,31826574.0,-0.2079799746876869,-0.119284671464651,0.2079799746876869,0.4521910186746196,0.0480745941745859,-0.3047550432276656,Body;Body;Body,Island,,,,chr11:31823805-31827015,,,PAX6;PAX6;PAX6
PAX6,cg16616521,,11,31821388.0,-0.1934352995241575,-0.1456510431811827,0.1934352995241575,0.5032818854177747,0.0643194249563916,-0.284221902017291,Body;Body;Body,Island,,,,chr11:31820260-31821695,,,PAX6;PAX6;PAX6
PAX6,cg11162118,,11,31837104.0,-0.102963454301137,-0.0612683192190509,0.102963454301137,0.8976955190134905,0.5855526041473069,-0.2327089337175792,5'UTR,Island,,,,chr11:31833885-31838315,,,PAX6
PAX6,cg01665555,,11,31834174.0,-0.0408865097262675,-0.095546336130232,0.0408865097262675,0.8022503565473709,0.3581245591627463,-0.2056916426512968,TSS1500;5'UTR;TSS1500,Island,,,,chr11:31833885-31838315,,,PAX6;PAX6;PAX6
PTCH1,cg13700197,,9,98221975.0,0.1996925271202849,0.1579013977078731,0.1996925271202849,0.3578995331178451,0.0163202187101737,0.3396974063400577,Body;Body;Body;Body;Body;Body;Body,,,,,,,chr9:98220925-98226459,PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1
SHH,cg06146234,,7,155599625.0,-0.0784174604423285,-0.0338094332837469,0.0784174604423285,0.900705117920004,0.5927384875893299,-0.079250720461095,Body,N_Shore,,,,chr7:155598885-155604055,,,SHH
