contrast_a,contrast_b,ID_REF,n_a,n_b,median_a,median_b,delta_median_a_minus_b,mean_a,mean_b,delta_mean_a_minus_b,std_a,std_b,u_statistic,p_value,rank_biserial,q_value_bh,abs_delta_median,abs_rank_biserial
D3,D1,cg26789038,16,256,0.8505768990303205,0.6178135803586455,0.232763318671675,0.8021587752525053,0.6114820840586036,0.19067669119390174,0.11784560635200587,0.20568501307258014,3149.0,0.0003120122433795946,0.53759765625,0.5861261431218241,0.232763318671675,0.53759765625
D3,D1,cg10119001,16,256,0.771434245621742,0.592610042324526,0.17882420329721604,0.7391397233926759,0.5859770270225289,0.153162696370147,0.15514735861224024,0.17905375261154421,3034.0,0.0004571419482378887,0.4814453125,0.5861261431218241,0.17882420329721604,0.4814453125
D3,D1,cg11222703,16,256,0.6490514087749355,0.527167234116198,0.12188417465873747,0.6620402780060375,0.4921341826794286,0.16990609532660889,0.10436438730364318,0.20290118105158786,3086.0,0.0005861261431218241,0.5068359375,0.5861261431218241,0.12188417465873747,0.5068359375
D3,D1,cg23352271,16,256,0.8761217915756074,0.759986354161508,0.11613543741409948,0.8451333902943498,0.7018225919574469,0.14331079833690286,0.0643721613304111,0.17934141485211258,3092.0,0.00047003268926244535,0.509765625,0.5861261431218241,0.11613543741409948,0.509765625
D3,D1,cg00203347,16,256,0.956295349244024,0.8671232449610585,0.08917210428296551,0.936013049343359,0.7776728568904779,0.1583401924528811,0.052656826164782095,0.20856135741500703,2897.0,0.0005319978968575032,0.41455078125,0.5861261431218241,0.08917210428296551,0.41455078125
D3,D1,cg08477332,16,256,0.7889938374838825,0.5375875394190315,0.25140629806485104,0.6976564617941825,0.5022387473820857,0.19541771441209677,0.13486061753329592,0.2306487774906496,3040.0,0.0011620087158402473,0.484375,0.7570340559373298,0.25140629806485104,0.484375
D3,D1,cg12516669,16,256,0.7368656663729525,0.573100056244724,0.16376561012822843,0.7330606905199661,0.5743484180966648,0.15871227242330133,0.11475116251822835,0.19053139077677944,3031.0,0.0011255832823335848,0.47998046875,0.7570340559373298,0.16376561012822843,0.47998046875
D3,D1,cg06880615,16,256,0.792115957373743,0.634888808098045,0.15722714927569792,0.7716073553097709,0.6108132535791485,0.16079410173062236,0.09389873721407072,0.19797020409042804,2649.0,0.0012112544894997276,0.29345703125,0.7570340559373298,0.15722714927569792,0.29345703125
D3,D1,cg17129986,16,256,0.5692007208962475,0.149497557052017,0.4197031638442305,0.5259535658666654,0.30972190300369434,0.21623166286297107,0.24488061481399376,0.27637652885274716,2983.0,0.0022036395018508884,0.45654296875,0.8970054705049845,0.4197031638442305,0.45654296875
D3,D1,cg07874011,16,256,0.7937420956634365,0.486108560518747,0.30763353514468944,0.6586886019792079,0.46821746730532254,0.19047113467388532,0.2473988223484335,0.2624431477125886,2943.0,0.002651907817062686,0.43701171875,0.8970054705049845,0.30763353514468944,0.43701171875
D3,D1,cg19193931,16,256,0.27084636219971703,0.528528022917749,-0.257681660718032,0.32977776823876626,0.49267709169993323,-0.16289932346116698,0.16855234528885052,0.201481379797387,1100.0,0.002213163599919776,-0.462890625,0.8970054705049845,0.257681660718032,0.462890625
D3,D1,cg12993715,16,256,0.317760644315773,0.561828134726189,-0.24406749041041598,0.3642374826506498,0.5443371815195737,-0.18009969886892385,0.22813678035088536,0.223060009968685,1142.0,0.0031645897733321377,-0.4423828125,0.8970054705049845,0.24406749041041598,0.4423828125
D3,D1,cg02037307,16,256,0.350700257855373,0.578762783333919,-0.22806252547854594,0.3810344950291602,0.5411717309044637,-0.16013723587530349,0.1941637725628093,0.20547136080237546,1149.0,0.0034086207879189413,-0.43896484375,0.8970054705049845,0.22806252547854594,0.43896484375
D3,D1,cg10456990,16,256,0.1921570759824655,0.4201478733058745,-0.227990797323409,0.2443753002748592,0.4043684215775649,-0.1599931213027057,0.15435735235306253,0.2053797580759668,1120.0,0.002378474347515255,-0.453125,0.8970054705049845,0.227990797323409,0.453125
D3,D1,cg19498960,16,256,0.181845432114747,0.3989763936734195,-0.21713096155867254,0.24798900370363705,0.396801103266295,-0.14881209956265792,0.14067240082033383,0.1934306151102575,1139.0,0.0029189570002118585,-0.44384765625,0.8970054705049845,0.21713096155867254,0.44384765625
D3,D1,cg22274813,16,256,0.2568664937091655,0.463134732408366,-0.20626823869920052,0.2945626519729753,0.44450134452223566,-0.14993869254926034,0.16034272409263514,0.1965543319390666,1153.0,0.003386526587434822,-0.43701171875,0.8970054705049845,0.20626823869920052,0.43701171875
D3,D1,cg09096383,16,256,0.8159756764896905,0.610455321672553,0.20552035481713748,0.7434619775427247,0.6054387565633018,0.13802322097942288,0.1743389309488361,0.18671776847164073,2946.0,0.0032809428691523436,0.4384765625,0.8970054705049845,0.20552035481713748,0.4384765625
D3,D1,cg23753006,16,256,0.676037821407122,0.474212009758928,0.20182581164819396,0.6582038831465991,0.5010893321561126,0.15711455099048643,0.12622555472372143,0.20752342291558784,2952.0,0.0027236680226273235,0.44140625,0.8970054705049845,0.20182581164819396,0.44140625
D3,D1,cg17478979,16,256,0.453785270474043,0.253789241837918,0.19999602863612498,0.46124318580974233,0.2982578760023527,0.16298530980738962,0.17277613589020452,0.20274187056502083,2981.0,0.001983583578815216,0.45556640625,0.8970054705049845,0.19999602863612498,0.45556640625
