contrast_a,contrast_b,id_ref_dir,n_a,n_b,median_a,median_b,delta_median_a_minus_b,mean_a,mean_b,delta_mean_a_minus_b,std_a,std_b,u_statistic,p_value,rank_biserial,q_value_bh,abs_delta_median,abs_rank_biserial,probe_id,ucsc_refgene_name_dir,ucsc_refgene_accession_dir,refgene_group_dir,cpg_island_name_dir,relation_to_cpg_island_dir,regulatory_feature_group_dir,regulatory_feature_name_dir,phantom4_enhancers_dir,hmm_island_dir,chromosome_dir,mapinfo_dir,strand_dir,design_type_dir,color_channel_dir,ucsc_refgene_group_dir,ucsc_cpg_islands_name_dir,relation_to_ucsc_cpg_island_dir,direction,direction_source_col,id_ref_ann,design_type_ann,color_channel_ann,genome_build,chromosome_ann,mapinfo_ann,strand_ann,ucsc_refgene_name_ann,ucsc_refgene_accession_ann,refgene_group_ann,cpg_island_name_ann,relation_to_cpg_island_ann,phantom4_enhancers_ann,hmm_island_ann,regulatory_feature_name_ann,regulatory_feature_group_ann,dnase_name,openchromatin_name,tfbs_name,ucsc_refgene_group_ann,ucsc_cpg_islands_name_ann,relation_to_ucsc_cpg_island_ann,chromosome_std,position_std,chromosome_arm,abs_effect
D3,not_D3,cg21697851,16,347,0.1687309003299605,0.408299755118915,-0.2395688547889544,0.2536228629259782,0.4043371577348976,-0.1507142948089194,0.2256102124590457,0.2286168824272631,1733.0,0.0118860882507743,-0.3757204610951008,0.3482378442494294,0.2395688547889544,0.3757204610951008,cg21697851,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38076869.0,R,I,Grn,Body;Body,chr21:38076762-38077685,Island,lower_in_a,delta_median_a_minus_b,cg21697851,I,Grn,37.0,21,38076869.0,R,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,21:36998579-36999842,,,chr21:38076425-38079075,,,Body;Body,chr21:38076762-38077685,Island,21,38076869.0,21q,0.2395688547889544
D3,not_D3,cg08066129,16,347,0.251145943209097,0.499560530080788,-0.248414586871691,0.2748340197162228,0.4827881550429466,-0.2079541353267238,0.1531779230113036,0.2266644359269249,1296.0,0.0004175944603694,-0.5331412103746398,0.1189615857115277,0.248414586871691,0.5331412103746398,cg08066129,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077258.0,F,II,,Body;Body,chr21:38076762-38077685,Island,lower_in_a,delta_median_a_minus_b,cg08066129,II,,37.0,21,38077258.0,F,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,21:36998579-36999842,,,chr21:38076425-38079075,,,Body;Body,chr21:38076762-38077685,Island,21,38077258.0,21q,0.248414586871691
D3,not_D3,cg19498960,16,347,0.181845432114747,0.465355309762837,-0.28350987764809,0.247989003703637,0.4613131422327923,-0.2133241385291552,0.1406724008203338,0.2194943982779642,1242.0,0.0001863826065843,-0.5525936599423631,0.1162628338501456,0.28350987764809,0.5525936599423631,cg19498960,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077270.0,F,II,,Body;Body,chr21:38076762-38077685,Island,lower_in_a,delta_median_a_minus_b,cg19498960,II,,37.0,21,38077270.0,F,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,21:36998579-36999842,,,chr21:38076425-38079075,,,Body;Body,chr21:38076762-38077685,Island,21,38077270.0,21q,0.28350987764809
D3,not_D3,cg07615087,16,347,0.2076268404810174,0.501937590392739,-0.2943107499117215,0.2743885941587716,0.4837993680560273,-0.2094107738972557,0.1736925679283694,0.2250538518133426,1349.0,0.0005088427708212,-0.5140489913544668,0.1189615857115277,0.2943107499117215,0.5140489913544668,cg07615087,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077347.0,R,II,,Body;Body,chr21:38076762-38077685,Island,lower_in_a,delta_median_a_minus_b,cg07615087,II,,37.0,21,38077347.0,R,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,21:36998579-36999842,,,chr21:38076425-38079075,,,Body;Body,chr21:38076762-38077685,Island,21,38077347.0,21q,0.2943107499117215
D3,not_D3,cg10456990,16,347,0.1921570759824655,0.500863093488895,-0.3087060175064295,0.2443753002748592,0.4726604814467006,-0.2282851811718413,0.1543573523530625,0.2305087900394484,1213.0,0.0001404020417248,-0.5630403458213257,0.1162628338501456,0.3087060175064295,0.5630403458213257,cg10456990,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077597.0,F,II,,Body;Body,chr21:38076762-38077685,Island,lower_in_a,delta_median_a_minus_b,cg10456990,II,,37.0,21,38077597.0,F,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,21:36998579-36999842,,,chr21:38076425-38079075,,,Body;Body,chr21:38076762-38077685,Island,21,38077597.0,21q,0.3087060175064295
D3,not_D3,cg26720125,16,347,0.2636508063128685,0.578148478067081,-0.3144976717542125,0.3359834642543373,0.5110686054165342,-0.1750851411621968,0.2061950387936489,0.2278137160679854,1535.0,0.0025043297302317,-0.4470461095100865,0.2030999898273786,0.3144976717542125,0.4470461095100865,cg26720125,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077673.0,R,II,,Body;Body,chr21:38076762-38077685,Island,lower_in_a,delta_median_a_minus_b,cg26720125,II,,37.0,21,38077673.0,R,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,21:36998579-36999842,,,chr21:38076425-38079075,,,Body;Body,chr21:38076762-38077685,Island,21,38077673.0,21q,0.3144976717542125
D3,not_D3,cg00698204,16,347,0.2873264422775745,0.466762522382715,-0.1794360801051404,0.3286532782370104,0.4696959799735659,-0.1410427017365554,0.1910727286343399,0.2153163740774235,1708.0,0.0092883127131884,-0.3847262247838616,0.3184209326092562,0.1794360801051404,0.3847262247838616,cg00698204,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,Island,Unclassified_Cell_type_specific,21:38080446-38080862,,21:37001812-37002971,21,38080694.0,R,II,,Body;Body,chr21:38079941-38081833,Island,lower_in_a,delta_median_a_minus_b,cg00698204,II,,37.0,21,38080694.0,R,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,Island,,21:37001812-37002971,21:38080446-38080862,Unclassified_Cell_type_specific,chr21:38080285-38081115,,,Body;Body,chr21:38079941-38081833,Island,21,38080694.0,21q,0.1794360801051404
D3,not_D3,cg01090834,16,347,0.1031927295044345,0.279526622457971,-0.1763338929535365,0.1646642526400573,0.3554357437302305,-0.1907714910901732,0.1444542588729761,0.2679644668937799,1710.0,0.0094211149620883,-0.3840057636887608,0.3184209326092562,0.1763338929535365,0.3840057636887608,cg01090834,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,Island,,,,21:37003057-37003703,21,38081193.0,R,II,,Body;Body,chr21:38079941-38081833,Island,lower_in_a,delta_median_a_minus_b,cg01090834,II,,37.0,21,38081193.0,R,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,Island,,21:37003057-37003703,,,chr21:38081145-38082095,,,Body;Body,chr21:38079941-38081833,Island,21,38081193.0,21q,0.1763338929535365
D3,not_D3,cg19193931,16,347,0.270846362199717,0.5834217144622724,-0.3125753522625554,0.3297777682387662,0.5482483118041103,-0.218470543565344,0.1685523452888505,0.2093778870928633,1184.0,0.0001170760593537,-0.5734870317002883,0.1162628338501456,0.3125753522625554,0.5734870317002883,cg19193931,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,S_Shore,Unclassified_Cell_type_specific,21:38081703-38082098,,,21,38081976.0,R,II,,Body;Body,chr21:38079941-38081833,S_Shore,lower_in_a,delta_median_a_minus_b,cg19193931,II,,37.0,21,38081976.0,R,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,S_Shore,,,21:38081703-38082098,Unclassified_Cell_type_specific,chr21:38081145-38082095,,,Body;Body,chr21:38079941-38081833,S_Shore,21,38081976.0,21q,0.3125753522625554
D3,not_D3,cg24080247,16,347,0.31956991213422,0.539651121791161,-0.220081209656941,0.3105312570068431,0.5050285586829036,-0.1944973016760605,0.1544490217530371,0.2119596437920325,1281.0,0.0002707822195146,-0.5385446685878963,0.1189615857115277,0.220081209656941,0.5385446685878963,cg24080247,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,S_Shore,,,,21:37004483-37004670,21,38082613.0,F,I,Red,Body;Body,chr21:38079941-38081833,S_Shore,lower_in_a,delta_median_a_minus_b,cg24080247,I,Red,37.0,21,38082613.0,F,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,S_Shore,,21:37004483-37004670,,,chr21:38082565-38083375,,,Body;Body,chr21:38079941-38081833,S_Shore,21,38082613.0,21q,0.220081209656941
