pc,rank_by_abs_loading,ID_REF,loading,abs_loading,ID,probe_id,ucsc_refgene_name,ucsc_refgene_accession,refgene_group,cpg_island_name,relation_to_cpg_island,regulatory_feature_group,regulatory_feature_name,phantom4_enhancers,hmm_island,chromosome,mapinfo,strand,design_type,color_channel,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,direction,direction_source_col
PC2,1,cg02527886,0.0423111505806446,0.0423111505806446,cg02527886,cg02527886,CARD11,NM_032415,Body,chr7:2968234-2968596,Island,,,,7:2934769-2935086,7,2968316.0,R,I,Red,CARD11,NM_032415,Body,chr7:2968234-2968596,Island,positive_loading,loading
PC2,2,cg02025737,0.0388895347714424,0.0388895347714424,cg02025737,cg02025737,,,,,,,,,,15,33384751.0,F,I,Red,,,,,,positive_loading,loading
PC2,3,cg13266188,0.0387108922004699,0.0387108922004699,cg13266188,cg13266188,UBE2E2,NM_152653,Body,,,,,,,3,23522396.0,F,II,,UBE2E2,NM_152653,Body,,,positive_loading,loading
PC2,4,cg16278877,0.0386283546686172,0.0386283546686172,cg16278877,cg16278877,CDC42BPG,NM_017525,Body,chr11:64596975-64597519,S_Shore,,,,11:64355587-64355697,11,64599084.0,R,I,Grn,CDC42BPG,NM_017525,Body,chr11:64596975-64597519,S_Shore,positive_loading,loading
PC2,5,cg00071984,0.0385307893157005,0.0385307893157005,cg00071984,cg00071984,FHIT;FHIT,NM_001166243;NM_002012,5'UTR;5'UTR,,,,,,,3,60617504.0,R,I,Red,FHIT;FHIT,NM_001166243;NM_002012,5'UTR;5'UTR,,,positive_loading,loading
PC2,6,cg16083711,0.0384657233953475,0.0384657233953475,cg16083711,cg16083711,GRIN2B,NM_000834,5'UTR,,,,,,12:14000452-14000498,12,14109211.0,F,I,Red,GRIN2B,NM_000834,5'UTR,,,positive_loading,loading
PC2,7,cg10837110,0.0383872352540493,0.0383872352540493,cg10837110,cg10837110,GABRD,NM_000815,Body,chr1:1959414-1959867,N_Shore,Unclassified_Cell_type_specific,1:1956963-1957903,,1:1947452-1947735,1,1957711.0,F,I,Red,GABRD,NM_000815,Body,chr1:1959414-1959867,N_Shore,positive_loading,loading
PC2,8,cg24496563,0.0383689515292644,0.0383689515292644,cg24496563,cg24496563,IL12RB2,NM_001559,Body,,,,,,,1,67842041.0,R,II,,IL12RB2,NM_001559,Body,,,positive_loading,loading
PC2,9,cg08480996,0.038173958659172,0.038173958659172,cg08480996,cg08480996,,,,,,,,,,16,66092410.0,R,II,,,,,,,positive_loading,loading
PC2,10,cg13692426,0.0381037257611751,0.0381037257611751,cg13692426,cg13692426,,,,chr9:79628910-79629393,N_Shelf,,,,,9,79625269.0,R,I,Red,,,,chr9:79628910-79629393,N_Shelf,positive_loading,loading
PC2,11,cg19432505,0.0380210243165493,0.0380210243165493,cg19432505,cg19432505,ASB5,NM_080874,1stExon,,,,,,,4,177190237.0,F,I,Red,ASB5,NM_080874,1stExon,,,positive_loading,loading
PC2,12,cg16679302,0.037994634360075,0.037994634360075,cg16679302,cg16679302,,,,,,,,,16:84179617-84179823,16,85622276.0,F,I,Red,,,,,,positive_loading,loading
PC2,13,cg00054971,0.0378516539931297,0.0378516539931297,cg00054971,cg00054971,PTPRE,NM_006504,5'UTR,,,,,,10:129686883-129687012,10,129796937.0,R,I,Red,PTPRE,NM_006504,5'UTR,,,positive_loading,loading
PC2,14,cg13691567,0.0377919226884841,0.0377919226884841,cg13691567,cg13691567,,,,,,,,,17:1255363-1255454,17,1308616.0,F,I,Red,,,,,,positive_loading,loading
PC2,15,cg24980551,0.0377370752394199,0.0377370752394199,cg24980551,cg24980551,CDC42BPG,NM_017525,Body,chr11:64596975-64597519,S_Shore,,,,11:64355587-64355697,11,64599054.0,R,I,Red,CDC42BPG,NM_017525,Body,chr11:64596975-64597519,S_Shore,positive_loading,loading
PC2,16,cg13551535,0.0375917144119739,0.0375917144119739,cg13551535,cg13551535,,,,,,,,,4:80190432-80190505,4,79971462.0,R,I,Red,,,,,,positive_loading,loading
PC2,17,cg15877425,0.0373106636106967,0.0373106636106967,cg15877425,cg15877425,TSGA13,NM_052933,Body,chr7:130353070-130353979,S_Shelf,,,,,7,130357453.0,F,I,Red,TSGA13,NM_052933,Body,chr7:130353070-130353979,S_Shelf,positive_loading,loading
PC2,18,cg21986027,0.0370840318500995,0.0370840318500995,cg21986027,cg21986027,,,,,,,,,6:168980063-168980193,6,169238138.0,F,I,Red,,,,,,positive_loading,loading
PC2,19,cg19961800,0.0370304249227047,0.0370304249227047,cg19961800,cg19961800,SYT16,NM_031914,Body,,,,,,14:61620680-61620750,14,62550978.0,R,I,Grn,SYT16,NM_031914,Body,,,positive_loading,loading
PC2,20,cg20005074,0.0370267108082771,0.0370267108082771,cg20005074,cg20005074,,,,,,,,,,7,35794235.0,R,II,,,,,,,positive_loading,loading
PC2,21,cg16083044,0.0370016060769557,0.0370016060769557,cg16083044,cg16083044,,,,,,,,,6:168531586-168531713,6,168788815.0,F,I,Grn,,,,,,positive_loading,loading
PC2,22,cg20064139,0.0368174985051155,0.0368174985051155,cg20064139,cg20064139,,,,chr20:41817475-41819212,S_Shelf,,,,,20,41823021.0,F,I,Red,,,,chr20:41817475-41819212,S_Shelf,positive_loading,loading
PC2,23,cg03695591,0.0366187170147895,0.0366187170147895,cg03695591,cg03695591,,,,chr2:223917576-223918037,S_Shelf,,,,,2,223920391.0,F,I,Red,,,,chr2:223917576-223918037,S_Shelf,positive_loading,loading
PC2,24,cg14245471,0.0365999937057495,0.0365999937057495,cg14245471,cg14245471,,,,chr2:10566889-10567148,S_Shore,,,,2:10485201-10485327,2,10567843.0,R,I,Red,,,,chr2:10566889-10567148,S_Shore,positive_loading,loading
PC2,25,cg12813797,0.0363998003304004,0.0363998003304004,cg12813797,cg12813797,TAAR6,NM_175067,1stExon,,,,,,,6,132891505.0,R,II,,TAAR6,NM_175067,1stExon,,,positive_loading,loading
PC2,26,cg25469381,0.0362933874130249,0.0362933874130249,cg25469381,cg25469381,,,,,,,,,,7,39748995.0,R,II,,,,,,,positive_loading,loading
PC2,27,cg01709589,0.0362916328012943,0.0362916328012943,cg01709589,cg01709589,CRISPLD2,NM_031476,3'UTR,,,,,,16:83498315-83498673,16,84941038.0,R,II,,CRISPLD2,NM_031476,3'UTR,,,positive_loading,loading
PC2,28,cg13700197,0.0362058989703655,0.0362058989703655,cg13700197,cg13700197,PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1,NM_001083606;NM_000264;NM_001083605;NM_001083602;NM_001083607;NM_001083603;NM_001083604,Body;Body;Body;Body;Body;Body;Body,,,,,,9:97261614-97261897,9,98221975.0,R,I,Red,PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1,NM_001083606;NM_000264;NM_001083605;NM_001083602;NM_001083607;NM_001083603;NM_001083604,Body;Body;Body;Body;Body;Body;Body,,,positive_loading,loading
PC2,29,cg20930294,0.0361947044730186,0.0361947044730186,cg20930294,cg20930294,DNAH17,NM_173628,Body,chr17:76454983-76455273,Island,,,,17:73966444-73966914,17,76455269.0,R,I,Red,DNAH17,NM_173628,Body,chr17:76454983-76455273,Island,positive_loading,loading
PC2,30,cg19709083,0.0361872985959053,0.0361872985959053,cg19709083,cg19709083,CUL1,NM_003592,3'UTR,,,,,,7:148128804-148128938,7,148497970.0,F,I,Red,CUL1,NM_003592,3'UTR,,,positive_loading,loading
PC2,31,cg00912247,0.0361870527267456,0.0361870527267456,cg00912247,cg00912247,,,,,,,,,14:103959901-103960169,14,104889116.0,R,I,Red,,,,,,positive_loading,loading
PC2,32,cg16353508,0.0361814945936203,0.0361814945936203,cg16353508,cg16353508,,,,chr20:61717767-61718006,N_Shelf,Unclassified_Cell_type_specific,20:61715683-61715992,,20:61185393-61187580,20,61715740.0,R,I,Red,,,,chr20:61717767-61718006,N_Shelf,positive_loading,loading
PC2,33,cg12466613,0.0361755713820457,0.0361755713820457,cg12466613,cg12466613,NR3C1;NR3C1;NR3C1,NM_001018074;NM_001018075;NM_001018077,TSS1500;TSS1500;TSS1500,,,,,,,5,142815469.0,F,II,,NR3C1;NR3C1;NR3C1,NM_001018074;NM_001018075;NM_001018077,TSS1500;TSS1500;TSS1500,,,positive_loading,loading
PC2,34,cg16785291,0.0360834971070289,0.0360834971070289,cg16785291,cg16785291,SLC35B4,NM_032826,3'UTR,,,,,,,7,133974228.0,R,II,,SLC35B4,NM_032826,3'UTR,,,positive_loading,loading
PC2,35,cg01589353,0.0360789597034454,0.0360789597034454,cg01589353,cg01589353,BRI3BP,NM_080626,Body,,,,,,12:124066461-124066676,12,125500634.0,F,I,Red,BRI3BP,NM_080626,Body,,,positive_loading,loading
PC2,36,cg10385290,0.0360581874847412,0.0360581874847412,cg10385290,cg10385290,SLC1A6,NM_005071,TSS200,,,,,,,19,15083818.0,R,I,Grn,SLC1A6,NM_005071,TSS200,,,positive_loading,loading
PC2,37,cg25354926,0.0360543951392173,0.0360543951392173,cg25354926,cg25354926,CPLX1,NM_006651,Body,chr4:812386-812646,Island,,,,4:802387-802941,4,812611.0,R,I,Grn,CPLX1,NM_006651,Body,chr4:812386-812646,Island,positive_loading,loading
PC2,38,cg23856293,0.0360272191464901,0.0360272191464901,cg23856293,cg23856293,MYT1,NM_004535,TSS1500,,,,,,,20,62795341.0,F,II,,MYT1,NM_004535,TSS1500,,,positive_loading,loading
PC2,39,cg05224126,0.0360186249017715,0.0360186249017715,cg05224126,cg05224126,,,,chr14:101531643-101532384,N_Shelf,,,,14:100598237-100598428,14,101528671.0,R,I,Red,,,,chr14:101531643-101532384,N_Shelf,positive_loading,loading
PC2,40,cg14886530,0.0359875038266181,0.0359875038266181,cg14886530,cg14886530,,,,,,,,,17:69769759-69769827,17,72258231.0,R,I,Red,,,,,,positive_loading,loading
PC2,41,cg03195147,0.0357249230146408,0.0357249230146408,cg03195147,cg03195147,,,,chr3:75444712-75445611,N_Shelf,,,,,3,75441804.0,F,II,,,,,chr3:75444712-75445611,N_Shelf,positive_loading,loading
PC2,42,cg10723575,0.0357178635895252,0.0357178635895252,cg10723575,cg10723575,WWTR1,NM_001168278,TSS1500,,,,,,,3,149422266.0,F,II,,WWTR1,NM_001168278,TSS1500,,,positive_loading,loading
