cpg_island_name,n,fraction
chr7:2968234-2968596,2,0.0625
chr1:3275029-3275284,2,0.0625
chr11:64596975-64597519,2,0.0625
chr16:1014739-1014976,1,0.03125
chr2:112939287-112939563,1,0.03125
chr14:27066313-27066578,1,0.03125
chr14:104687157-104687375,1,0.03125
chr1:3634633-3635101,1,0.03125
chr21:38079941-38081833,1,0.03125
chr13:113701833-113702280,1,0.03125
chr18:10589149-10589386,1,0.03125
chr16:3085222-3085469,1,0.03125
chr5:2866699-2867005,1,0.03125
chr9:140195501-140197475,1,0.03125
chr17:43037166-43037740,1,0.03125
chr1:45452037-45452444,1,0.03125
chr8:1830748-1831008,1,0.03125
chr3:75444712-75445611,1,0.03125
chr14:101531643-101532384,1,0.03125
chr4:812386-812646,1,0.03125
chr20:61717767-61718006,1,0.03125
chr17:76454983-76455273,1,0.03125
chr2:10566889-10567148,1,0.03125
chr2:223917576-223918037,1,0.03125
chr20:41817475-41819212,1,0.03125
chr7:130353070-130353979,1,0.03125
chr9:79628910-79629393,1,0.03125
chr1:1959414-1959867,1,0.03125
chr18:74770351-74770590,1,0.03125
