gene_id,median_log1p_treated,median_log1p_untreated,delta_log1p_treated_minus_untreated,u_statistic,p_treatment,spearman_rho_with_R,p_R_correlation,detected_frac_treated,detected_frac_untreated,n_detected_total,q_treatment_bh,q_R_correlation_bh,gene_id_stripped,gene_symbol,gene_biotype,chromosome,bridge_direction,bridge_score
ENSG00000165025,0.0,4.255587559545337,-4.255587559545337,158868.0,1.3732900460492028e-26,-0.359011912488342,3.2161168912524453e-51,0.35917312661498707,0.685214626391097,1001,2.8182260793692622e-24,3.3440111396279177e-47,ENSG00000165025,SYK,protein_coding,chr9,treated_down_R_negative,1.5278066285139678
ENSG00000105339,0.0,4.3694478524670215,-4.3694478524670215,158075.0,1.3927389794132694e-26,-0.33235496436527945,1.022979389260248e-43,0.43669250645994834,0.7186009538950715,1073,2.8394579728652364e-24,4.558542298456417e-40,ENSG00000105339,DENND3,protein_coding,chr8,treated_down_R_negative,1.4522076853026238
ENSG00000154127,0.0,4.330733340286331,-4.330733340286331,128337.0,1.8171958267430265e-47,-0.3251832840159648,8.04591413877682e-42,0.3281653746770026,0.7154213036565977,1027,1.2060380728424516e-44,2.0914683310905446e-38,ENSG00000154127,UBASH3B,protein_coding,chr11,treated_down_R_negative,1.4082820897917379
ENSG00000147459,0.0,4.290459441148391,-4.290459441148391,160738.5,2.5426282738159906e-25,-0.29928985691300825,2.160914206032256e-35,0.4134366925064599,0.6891891891891891,1027,4.926223835102e-23,1.2036678005136458e-32,ENSG00000147459,DOCK5,protein_coding,chr8,treated_down_R_negative,1.2840909922323673
ENSG00000173801,0.0,3.8066624897703196,-3.8066624897703196,169692.0,9.7068629255312e-21,-0.30495946774252647,9.584130160835394e-37,0.3850129198966408,0.6589825119236884,978,1.2668877624941202e-18,7.473944302673461e-34,ENSG00000173801,JUP,protein_coding,chr17,treated_down_R_negative,1.1608777667557972
ENSG00000004399,0.0,3.4339872044851463,-3.4339872044851463,178040.5,2.4784266749533513e-16,-0.32074765887716156,1.1290426521652034e-40,0.4754521963824289,0.6891891891891891,1051,2.0671006222411734e-14,1.853590918367852e-37,ENSG00000004399,PLXND1,protein_coding,chr3,treated_down_R_negative,1.1014433564527393
ENSG00000174059,0.0,5.027159221119356,-5.027159221119356,106758.5,4.586201421449862e-74,-0.2104402147482917,6.384922405858394e-18,0.03617571059431524,0.5922098569157392,759,1.0218384352806111e-70,1.799140782348156e-16,ENSG00000174059,CD34,protein_coding,chr1,treated_down_R_negative,1.0579164660662121
ENSG00000008282,0.0,4.110873864173311,-4.110873864173311,197688.0,6.199159976573388e-09,-0.2571084341190766,3.0215572049571994e-26,0.45478036175710596,0.6224165341812401,959,1.82942665231082e-07,3.639051501707719e-24,ENSG00000008282,SYPL1,protein_coding,chr7,treated_down_R_negative,1.0569403420786376
ENSG00000081189,0.0,3.1780538303479458,-3.1780538303479458,182981.5,2.031457484822177e-14,-0.330110500847968,4.060983613935625e-43,0.4289405684754522,0.6502384737678856,984,1.3775489853056124e-12,1.4588860398753385e-39,ENSG00000081189,MEF2C,protein_coding,chr5,treated_down_R_negative,1.0491089416579635
ENSG00000254087,0.0,3.6635616461296463,-3.6635616461296463,176300.0,3.0309072681286566e-17,-0.28543541503086794,3.2771175545090044e-32,0.4702842377260982,0.6685214626391097,1023,2.7806791298452115e-15,1.1485744705370715e-29,ENSG00000254087,LYN,protein_coding,chr8,treated_down_R_negative,1.0457102389541852
