candidate_gene,probe_id,direction,chromosome,position,refgene_group,relation_to_cpg_island,raw_gene_annotation,delta_median_a_minus_b,delta_mean_a_minus_b,abs_delta_median,rank_biserial,q_value_bh,p_value,u_statistic,mean_a,mean_b,median_a,median_b,std_a,std_b
BMP4,cg16389901,,14,54423807.0,TSS1500;TSS1500,S_Shore,BMP4;BMP4,-0.1205940430676564,-0.0385121282403938,0.1205940430676564,-0.8015129682997117,0.8598610712398866,0.4896078876492228,551.0,0.5180036101820036,0.5565157384223974,0.4745617708617305,0.595155813929387,0.1684963302650544,0.2356278367862279
BMP4,cg20297199,,14,54422775.0,5'UTR;5'UTR,Island,BMP4;BMP4,-0.0469757101134259,-0.033385372539028,0.0469757101134259,-0.1062680115273775,0.8516239890009484,0.4729855406672487,2481.0,0.3917584231806181,0.4251437957196462,0.39817975827437,0.445155468387796,0.2046829984726404,0.2154643764005832
GLI2,cg23681112,,2,121554926.0,1stExon,,GLI2,-0.0479796469514279,0.0116696191625085,0.0479796469514279,-0.0871757925072046,0.9786806749849069,0.892930255098303,2534.0,0.7171479017478251,0.7054782825853165,0.74732978085489,0.795309427806318,0.1870077059851745,0.2167258649455457
GLI2,cg20547155,,2,121554882.0,5'UTR;1stExon,,GLI2;GLI2,-0.036879958291903,0.0035234327919434,0.036879958291903,-0.0547550432276656,0.9426652100192529,0.7398499977157225,2624.0,0.5927747479590398,0.5892513151670964,0.60307901455202,0.639958972843923,0.1617162916727674,0.212489098773017
GLI2,cg06969469,,2,121554817.0,TSS200,,GLI2,-0.0234014518524818,-0.0138469461387017,0.0234014518524818,0.0115273775216138,0.9786806749849069,0.891510927247047,2808.0,0.6986897548603376,0.7125367009990393,0.770302421165953,0.7937038730184349,0.2355745947552764,0.2105243912117458
OLIG2,cg08729810,,21,34396944.0,TSS1500,Island,OLIG2,0.0161916971206366,0.0173035485829996,0.0161916971206366,0.0331412103746397,0.9621061985209604,0.823562905933942,2868.0,0.5338247158178736,0.516521167234874,0.5777088532582926,0.561517156137656,0.2064273569488944,0.2161869663563035
PAX6,cg09382096,,11,31827593.0,Body;Body;Body,N_Shore,PAX6;PAX6;PAX6,-0.2470137970417755,-0.1602180380343373,0.2470137970417755,-0.4171469740634006,0.2510057321425517,0.0047939073346873,1618.0,0.3624282375028755,0.5226462755372129,0.3366384264446305,0.583652223486406,0.1921775068016371,0.2207594659687275
PAX6,cg09537620,,11,31826574.0,Body;Body;Body,Island,PAX6;PAX6;PAX6,-0.2079799746876869,-0.119284671464651,0.2079799746876869,-0.3047550432276656,0.4521910186746196,0.0480745941745859,1930.0,0.412503555312433,0.531788226777084,0.373913586212599,0.581893560900286,0.199015538529041,0.2473583916770164
PAX6,cg16616521,,11,31821388.0,Body;Body;Body,Island,PAX6;PAX6;PAX6,-0.1934352995241575,-0.1456510431811827,0.1934352995241575,-0.284221902017291,0.5032818854177747,0.0643194249563916,1987.0,0.4656676960325386,0.6113187392137214,0.476312286752434,0.6697475862765915,0.2941201558418592,0.2320328432979456
PAX6,cg11162118,,11,31837104.0,5'UTR,Island,PAX6,-0.102963454301137,-0.0612683192190509,0.102963454301137,-0.2327089337175792,0.8976955190134905,0.5855526041473069,2130.0,0.3032692726306293,0.3645375918496802,0.223310883425974,0.326274337727111,0.2073055477409498,0.2553740931025885
PAX6,cg01665555,,11,31834174.0,TSS1500;5'UTR;TSS1500,Island,PAX6;PAX6;PAX6,-0.0408865097262675,-0.095546336130232,0.0408865097262675,-0.2056916426512968,0.8022503565473709,0.3581245591627463,2205.0,0.208780209855037,0.3043265459852691,0.181195313603198,0.2220818233294655,0.0856628837338638,0.2146457908248198
PTCH1,cg13700197,,9,98221975.0,Body;Body;Body;Body;Body;Body;Body,,PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1,0.1996925271202849,0.1579013977078731,0.1996925271202849,0.3396974063400577,0.3578995331178451,0.0163202187101737,3719.0,0.7434360384637009,0.5855346407558277,0.799848624304106,0.600156097183821,0.195078772426315,0.2708891755559636
SHH,cg06146234,,7,155599625.0,Body,N_Shore,SHH,-0.0784174604423285,-0.0338094332837469,0.0784174604423285,-0.079250720461095,0.900705117920004,0.5927384875893299,2556.0,0.4047393461944327,0.4385487794781796,0.3408947493881404,0.419312209830469,0.1788384319651293,0.2126473639768918
