contrast_a,contrast_b,ID_REF,n_a,n_b,median_a,median_b,delta_median_a_minus_b,mean_a,mean_b,delta_mean_a_minus_b,std_a,std_b,u_statistic,p_value,rank_biserial,q_value_bh,abs_delta_median,abs_rank_biserial,probe_id,ucsc_refgene_name,ucsc_refgene_accession,refgene_group,cpg_island_name,relation_to_cpg_island,regulatory_feature_group,regulatory_feature_name,phantom4_enhancers,hmm_island,chromosome,mapinfo,strand,design_type,color_channel,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island
D3,not_D3,cg19193931,16,347,0.270846362199717,0.5834217144622724,-0.3125753522625554,0.3297777682387662,0.5482483118041103,-0.218470543565344,0.1685523452888505,0.2093778870928633,1184.0,0.0001170760593537,-0.5734870317002883,0.1162628338501456,0.3125753522625554,0.5734870317002883,cg19193931,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,S_Shore,Unclassified_Cell_type_specific,21:38081703-38082098,,,21,38081976.0,R,II,,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,S_Shore
D3,not_D3,cg10456990,16,347,0.1921570759824655,0.500863093488895,-0.3087060175064295,0.2443753002748592,0.4726604814467006,-0.2282851811718413,0.1543573523530625,0.2305087900394484,1213.0,0.0001404020417248,-0.5630403458213257,0.1162628338501456,0.3087060175064295,0.5630403458213257,cg10456990,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077597.0,F,II,,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island
D3,not_D3,cg19498960,16,347,0.181845432114747,0.465355309762837,-0.28350987764809,0.247989003703637,0.4613131422327923,-0.2133241385291552,0.1406724008203338,0.2194943982779642,1242.0,0.0001863826065843,-0.5525936599423631,0.1162628338501456,0.28350987764809,0.5525936599423631,cg19498960,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077270.0,F,II,,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island
D3,not_D3,cg22274813,16,347,0.2568664937091655,0.526759803773031,-0.2698933100638655,0.2945626519729753,0.5003742500485696,-0.2058115980755943,0.1603427240926351,0.2091827353369474,1254.0,0.0002092731009302,-0.5482708933717579,0.1162628338501456,0.2698933100638655,0.5482708933717579,cg22274813,,,,chr21:38068193-38073891,N_Shore,,,,21:36988500-36988972,21,38067101.0,F,II,,,,,chr21:38068193-38073891,N_Shore
D3,not_D3,cg10119001,16,347,0.771434245621742,0.544023012767296,0.2274112328544459,0.7391397233926759,0.5334453675749654,0.2056943558177104,0.1551473586122402,0.2073979655577014,4276.0,5.727259861570221e-05,0.5403458213256485,0.1162628338501456,0.2274112328544459,0.5403458213256485,cg10119001,SPRR2C,NR_003062,TSS1500,,,,,,,1,153114766.0,F,II,,SPRR2C,NR_003062,TSS1500,,
D3,not_D3,cg12516669,16,347,0.7368656663729525,0.5311031663305306,0.2057625000424219,0.7330606905199661,0.5325350399543792,0.2005256505655869,0.1147511625182283,0.2117917730292842,4289.0,0.000202744433017,0.5450288184438041,0.1162628338501456,0.2057625000424219,0.5450288184438041,cg12516669,,,,chr4:91048411-91049682,N_Shelf,,,,,4,91045103.0,R,II,,,,,chr4:91048411-91049682,N_Shelf
D3,not_D3,cg23352271,16,347,0.8761217915756074,0.689727625365587,0.1863941662100204,0.8451333902943498,0.6372377487345678,0.2078956415597819,0.0643721613304111,0.21844743771533,4469.0,2.829201189508581e-05,0.6098703170028819,0.1162628338501456,0.1863941662100204,0.6098703170028819,cg23352271,,,,chr11:49914943-49915372,Island,,,,11:49871589-49871936,11,49915274.0,F,I,Red,,,,chr11:49914943-49915372,Island
D3,not_D3,cg11222703,16,347,0.6490514087749355,0.497041757783014,0.1520096509919214,0.6620402780060375,0.4570487813523208,0.2049914966537166,0.1043643873036431,0.2126837753708927,4374.0,7.685803186930284e-05,0.5756484149855907,0.1162628338501456,0.1520096509919214,0.5756484149855907,cg11222703,,,,chr4:190986382-191013609,N_Shelf,,,,,4,190983569.0,R,II,,,,,chr4:190986382-191013609,N_Shelf
D3,not_D3,cg00203347,16,347,0.956295349244024,0.820835500582018,0.135459848662006,0.936013049343359,0.7372475335272727,0.1987655158160863,0.052656826164782,0.2353159688994894,4099.0,0.0001004084707535,0.4765850144092218,0.1162628338501456,0.135459848662006,0.4765850144092218,cg00203347,WSCD2,NM_014653,Body,,,,,,12:107128073-107128158,12,108603943.0,R,I,Red,WSCD2,NM_014653,Body,,
D3,not_D3,cg25279739,16,347,0.837082012319408,0.5127324675067145,0.3243495448126935,0.749179394880512,0.5313621580022212,0.2178172368782908,0.1790819915743254,0.23823106034186,4239.0,0.0003264040621753,0.5270172910662825,0.1189615857115277,0.3243495448126935,0.5270172910662825,cg25279739,MEGF6,NM_001409,Body,chr1:3499902-3500470,Island,,,,,1,3500469.0,F,II,,MEGF6,NM_001409,Body,chr1:3499902-3500470,Island
D3,not_D3,cg07615087,16,347,0.2076268404810174,0.501937590392739,-0.2943107499117215,0.2743885941587716,0.4837993680560273,-0.2094107738972557,0.1736925679283694,0.2250538518133426,1349.0,0.0005088427708212,-0.5140489913544668,0.1189615857115277,0.2943107499117215,0.5140489913544668,cg07615087,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077347.0,R,II,,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island
D3,not_D3,cg02037307,16,347,0.350700257855373,0.6238750115600125,-0.2731747537046394,0.3810344950291602,0.580979690041314,-0.1999451950121538,0.1941637725628093,0.2152233187627455,1345.0,0.000547223294273,-0.5154899135446687,0.1189615857115277,0.2731747537046394,0.5154899135446687,cg02037307,PITX1,NM_002653,3'UTR,chr5:134363092-134365146,Island,,,,5:134391415-134392082,5,134363562.0,R,I,Grn,PITX1,NM_002653,3'UTR,chr5:134363092-134365146,Island
D3,not_D3,cg26789038,16,347,0.8505768990303205,0.5929256215817931,0.2576512774485274,0.8021587752525053,0.5949734841429497,0.2071852911095556,0.1178456063520058,0.2251839561806397,4240.0,0.0003233549669026,0.5273775216138328,0.1189615857115277,0.2576512774485274,0.5273775216138328,cg26789038,IKZF1,NM_006060,3'UTR,chr7:50467566-50468400,S_Shore,,,,7:50436164-50436217,7,50468722.0,R,I,Grn,IKZF1,NM_006060,3'UTR,chr7:50467566-50468400,S_Shore
D3,not_D3,cg08066129,16,347,0.251145943209097,0.499560530080788,-0.248414586871691,0.2748340197162228,0.4827881550429466,-0.2079541353267238,0.1531779230113036,0.2266644359269249,1296.0,0.0004175944603694,-0.5331412103746398,0.1189615857115277,0.248414586871691,0.5331412103746398,cg08066129,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077258.0,F,II,,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island
D3,not_D3,cg09096383,16,347,0.8159756764896905,0.567813194388674,0.2481624821010165,0.7434619775427247,0.5584688778594374,0.1849930996832872,0.1743389309488361,0.2118976463622864,4200.0,0.0005228908547537,0.5129682997118155,0.1189615857115277,0.2481624821010165,0.5129682997118155,cg09096383,CSN1S1;CSN1S1,NM_001890;NM_001025104,5'UTR;5'UTR,,,,,,,4,70796842.0,R,II,,CSN1S1;CSN1S1,NM_001890;NM_001025104,5'UTR;5'UTR,,
D3,not_D3,cg24216893,16,347,0.695534143036847,0.460663612786555,0.234870530250292,0.6730477233642784,0.4711565307097914,0.2018911926544869,0.1285140287822304,0.2253120051668166,4226.0,0.0004122679488478,0.5223342939481268,0.1189615857115277,0.234870530250292,0.5223342939481268,cg24216893,TPO;TPO;TPO;TPO,NM_175719;NM_000547;NM_175721;NM_175722,Body;Body;Body;Body,,,,,,2:1405623-1405932,2,1426674.0,F,I,Grn,TPO;TPO;TPO;TPO,NM_175719;NM_000547;NM_175721;NM_175722,Body;Body;Body;Body,,
D3,not_D3,cg23753006,16,347,0.676037821407122,0.4433548252343829,0.232682996172739,0.6582038831465991,0.4623920395466299,0.1958118435999691,0.1262255547237214,0.2208404550135866,4202.0,0.0004600936296403,0.5136887608069165,0.1189615857115277,0.232682996172739,0.5136887608069165,cg23753006,,,,,,Unclassified,2:143044045-143044687,,,2,143044057.0,F,II,,,,,,
D3,not_D3,cg09237447,16,347,0.7730791285596854,0.542145965236974,0.2309331633227114,0.7172252861936753,0.5317898314413604,0.1854354547523149,0.1320113600879125,0.2114851894775667,4190.0,0.0005134291211303,0.5093659942363113,0.1189615857115277,0.2309331633227114,0.5093659942363113,cg09237447,,,,,,,,,,4,19984063.0,R,II,,,,,,
D3,not_D3,cg24080247,16,347,0.31956991213422,0.539651121791161,-0.220081209656941,0.3105312570068431,0.5050285586829036,-0.1944973016760605,0.1544490217530371,0.2119596437920325,1281.0,0.0002707822195146,-0.5385446685878963,0.1189615857115277,0.220081209656941,0.5385446685878963,cg24080247,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,S_Shore,,,,21:37004483-37004670,21,38082613.0,F,I,Red,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38079941-38081833,S_Shore
