ID,SPOT_ID
cg18478105,cg18478105
cg09835024,cg09835024
cg14361672,cg14361672
cg01763666,cg01763666
cg12950382,cg12950382
cg02115394,cg02115394
cg25813447,cg25813447
cg07779434,cg07779434
cg13417420,cg13417420
cg12480843,cg12480843
cg26724186,cg26724186
cg24133276,cg24133276
cg00617867,cg00617867
cg13773083,cg13773083
cg17236668,cg17236668
cg19607165,cg19607165
cg11073926,cg11073926
cg08770523,cg08770523
cg08795713,cg08795713
cg24040570,cg24040570
cg24652288,cg24652288
cg15998406,cg15998406
cg11890956,cg11890956
cg09387925,cg09387925
cg01675618,cg01675618
cg11947782,cg11947782
cg11945228,cg11945228
cg14361409,cg14361409
cg00376553,cg00376553
cg12898275,cg12898275
cg21650422,cg21650422
cg19453472,cg19453472
cg24176744,cg24176744
cg08360726,cg08360726
cg00072839,cg00072839
cg07469408,cg07469408
cg08730728,cg08730728
cg05738196,cg05738196
cg25261995,cg25261995
cg22782271,cg22782271
