pc,rank_by_abs_loading,ID_REF,loading,abs_loading,ID,probe_id,gene_symbol,feature_context,island_context,chromosome,mapinfo,strand,probe_description
PC2,1,cg02527886,0.0423111505806446,0.0423111505806446,cg02527886,,,,,,,,
PC2,2,cg02025737,0.0388895347714424,0.0388895347714424,cg02025737,,,,,,,,
PC2,3,cg13266188,0.0387108922004699,0.0387108922004699,cg13266188,,,,,,,,
PC2,4,cg16278877,0.0386283546686172,0.0386283546686172,cg16278877,,,,,,,,
PC2,5,cg00071984,0.0385307893157005,0.0385307893157005,cg00071984,,,,,,,,
PC2,6,cg16083711,0.0384657233953475,0.0384657233953475,cg16083711,,,,,,,,
PC2,7,cg10837110,0.0383872352540493,0.0383872352540493,cg10837110,,,,,,,,
PC2,8,cg24496563,0.0383689515292644,0.0383689515292644,cg24496563,,,,,,,,
PC2,9,cg08480996,0.038173958659172,0.038173958659172,cg08480996,,,,,,,,
PC2,10,cg13692426,0.0381037257611751,0.0381037257611751,cg13692426,,,,,,,,
PC2,11,cg19432505,0.0380210243165493,0.0380210243165493,cg19432505,,,,,,,,
PC2,12,cg16679302,0.037994634360075,0.037994634360075,cg16679302,,,,,,,,
PC2,13,cg00054971,0.0378516539931297,0.0378516539931297,cg00054971,,,,,,,,
PC2,14,cg13691567,0.0377919226884841,0.0377919226884841,cg13691567,,,,,,,,
PC2,15,cg24980551,0.0377370752394199,0.0377370752394199,cg24980551,,,,,,,,
PC2,16,cg13551535,0.0375917144119739,0.0375917144119739,cg13551535,,,,,,,,
PC2,17,cg15877425,0.0373106636106967,0.0373106636106967,cg15877425,,,,,,,,
PC2,18,cg21986027,0.0370840318500995,0.0370840318500995,cg21986027,,,,,,,,
PC2,19,cg19961800,0.0370304249227047,0.0370304249227047,cg19961800,,,,,,,,
PC2,20,cg20005074,0.0370267108082771,0.0370267108082771,cg20005074,,,,,,,,
PC2,21,cg16083044,0.0370016060769557,0.0370016060769557,cg16083044,,,,,,,,
PC2,22,cg20064139,0.0368174985051155,0.0368174985051155,cg20064139,,,,,,,,
PC2,23,cg03695591,0.0366187170147895,0.0366187170147895,cg03695591,,,,,,,,
PC2,24,cg14245471,0.0365999937057495,0.0365999937057495,cg14245471,,,,,,,,
PC2,25,cg12813797,0.0363998003304004,0.0363998003304004,cg12813797,,,,,,,,
PC2,26,cg25469381,0.0362933874130249,0.0362933874130249,cg25469381,,,,,,,,
PC2,27,cg01709589,0.0362916328012943,0.0362916328012943,cg01709589,,,,,,,,
PC2,28,cg13700197,0.0362058989703655,0.0362058989703655,cg13700197,,,,,,,,
PC2,29,cg20930294,0.0361947044730186,0.0361947044730186,cg20930294,,,,,,,,
PC2,30,cg19709083,0.0361872985959053,0.0361872985959053,cg19709083,,,,,,,,
PC2,31,cg00912247,0.0361870527267456,0.0361870527267456,cg00912247,,,,,,,,
PC2,32,cg16353508,0.0361814945936203,0.0361814945936203,cg16353508,,,,,,,,
PC2,33,cg12466613,0.0361755713820457,0.0361755713820457,cg12466613,,,,,,,,
PC2,34,cg16785291,0.0360834971070289,0.0360834971070289,cg16785291,,,,,,,,
PC2,35,cg01589353,0.0360789597034454,0.0360789597034454,cg01589353,,,,,,,,
PC2,36,cg10385290,0.0360581874847412,0.0360581874847412,cg10385290,,,,,,,,
PC2,37,cg25354926,0.0360543951392173,0.0360543951392173,cg25354926,,,,,,,,
PC2,38,cg23856293,0.0360272191464901,0.0360272191464901,cg23856293,,,,,,,,
PC2,39,cg05224126,0.0360186249017715,0.0360186249017715,cg05224126,,,,,,,,
PC2,40,cg14886530,0.0359875038266181,0.0359875038266181,cg14886530,,,,,,,,
