direction,regulatory_feature_name,n,fraction_within_direction
positive_loading,16:1014509-1015309,1,0.1
positive_loading,17:43034671-43034793,1,0.1
positive_loading,17:77395801-77396208,1,0.1
positive_loading,1:156551641-156552343,1,0.1
positive_loading,1:1956963-1957903,1,0.1
positive_loading,20:61715683-61715992,1,0.1
positive_loading,2:112938965-112940681,1,0.1
positive_loading,6:30593987-30595136,1,0.1
positive_loading,7:155790781-155791132,1,0.1
positive_loading,9:140197669-140198896,1,0.1
